step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,15,36,27.3
1836,62,36,31.3
2448,4,6,28.0
3060,10,36,25.3
3672,63,34,30.7
4284,7,94,28.0
4896,93,13,29.7
5508,5,45,26.7
6120,85,45,26.7
6732,7,21,27.7
7344,17,43,26.0
7956,64,43,31.3
8568,6,19,27.7
9180,15,40,24.3
9792,62,40,29.3
10404,3,19,28.0
11016,13,38,23.3
11628,64,38,31.3
12240,5,20,27.7
12852,16,38,25.3
13464,62,38,30.0
14076,11,24,26.7
14688,24,22,24.3
15300,62,42,28.7
15912,9,22,26.3
16524,20,88,20.3
17136,99,16,28.0
17748,5,43,24.7
18360,80,41,27.7
18972,7,15,29.8
19584,15,35,24.0
20196,63,33,31.0
20808,10,78,23.0
21420,92,59,25.7
22032,101,21,31.0
22644,7,32,24.3
23256,50,32,27.7
23868,8,94,28.3
24480,90,10,30.0
25092,4,35,27.3
25704,61,32,30.3
26316,13,74,22.3
26928,96,56,26.0
27540,5,21,27.3
28152,17,31,22.0
28764,63,30,27.3
29376,10,58,22.3
29988,95,53,24.0
30600,5,22,29.7
31212,13,36,26.0
31824,56,35,29.7
32436,5,18,27.0
33048,13,39,22.0
33660,59,39,30.0
34272,6,25,27.0
34884,18,41,28.0
35496,60,41,29.3
36108,2,18,28.7
36720,7,35,26.5
37332,55,34,30.7
37944,3,16,29.3
38556,12,40,25.3
39168,64,40,31.0
39780,5,21,25.0
40392,16,40,23.3
41004,65,40,33.3
41616,7,20,27.8
42228,11,39,27.0
42840,59,39,29.0
43452,6,20,26.3
44064,15,39,24.3
44676,60,39,31.0
45288,4,20,28.0
45900,15,39,25.0
46512,64,39,30.0
47124,7,18,30.5
47736,18,40,27.0
48348,69,39,27.3
48960,10,13,26.0
49572,18,34,24.3
50184,65,30,28.0
50796,12,73,20.0
51408,98,33,28.3
52020,7,33,26.5
52632,60,33,32.0
53244,7,100,28.3
53856,93,12,30.0
54468,3,55,23.0
55080,98,55,21.0
55692,3,33,26.3
56304,60,33,28.3
56916,11,88,23.0
57528,100,14,34.3
58140,12,38,24.7
58752,68,38,27.7
59364,13,12,26.3
59976,19,41,24.0
60588,67,41,31.7
61200,12,22,27.0
61812,22,15,23.7
62424,66,33,30.7
63036,10,101,26.7
63648,99,15,27.0
64260,14,43,27.3
64872,71,43,32.0
65484,11,12,25.3
66096,17,34,27.0
66708,61,32,28.3
67320,13,75,21.3
67932,97,60,25.7
68544,1,28,28.7
69156,17,32,28.0
69768,54,28,30.3
70380,8,52,25.0
70992,97,44,24.7
71604,4,11,30.3
72216,4,36,29.7
72828,52,35,33.7
73440,0,17,29.0
74052,2,38,24.7
74664,61,36,30.3
75276,4,15,29.3
75888,4,32,32.0
76500,27,57,26.0
77112,97,40,26.0
77724,101,70,23.3
78336,101,33,31.3
78948,3,33,24.3
79560,49,94,29.0
80172,39,7,28.3
80784,44,34,30.0
81396,0,17,28.3
82008,8,35,24.7
82620,57,30,28.0
