step_time,reward_gneJ00,gneJ00_offset,reward_gneJ9,gneJ9_offset
190740.0,-1629,50,-1156,25
191760.0,-1251,7,-1528,64
192780.0,-1254,66,-1604,1
193800.0,-1059,23,-1424,40
194820.0,-1713,82,-1293,79
195840.0,-1392,39,-1231,16
196860.0,-1470,98,-1529,55
197880.0,-1180,55,-1552,94
198900.0,-1267,12,-1336,31
199920.0,-1695,71,-1123,70
200940.0,-1284,28,-1039,7
201960.0,-1474,87,-1464,46
202980.0,-1215,44,-1544,85
204000.0,-1247,1,-1420,22
205020.0,-1658,60,-1183,61
206040.0,-1496,17,-1316,100
207060.0,-1531,76,-1448,37
208080.0,-865,33,-1639,76
209100.0,-1360,92,-1409,13
210120.0,-1616,49,-1156,52
211140.0,-1608,6,-1179,91
212160.0,-1680,65,-1397,28
213180.0,-987,22,-1661,67
214200.0,-1381,81,-1410,4
215220.0,-1313,38,-1119,43
216240.0,-1742,97,-1285,82
217260.0,-1532,54,-1277,19
218280.0,-1380,11,-1593,58
219300.0,-1450,70,-1491,97
220320.0,-1520,27,-1136,34
221340.0,-1747,86,-1209,73
222360.0,-1366,43,-1372,10
223380.0,-1264,0,-1623,49
224400.0,-1320,59,-1463,88
225420.0,-1422,16,-1216,25
226440.0,-1653,75,-1246,64
227460.0,-1281,32,-1361,1
228480.0,-1419,91,-1689,40
229500.0,-1105,48,-1523,79
230520.0,-1292,5,-1189,16
231540.0,-1635,64,-1153,55
232560.0,-1336,21,-1297,94
233580.0,-1427,80,-1691,31
234600.0,-964,37,-1548,70
235620.0,-1332,96,-1258,7
236640.0,-1930,53,-1175,46
237660.0,-1370,10,-1440,85
238680.0,-1525,69,-1565,22
239700.0,-1146,26,-1601,61
240720.0,-1446,85,-1336,100
241740.0,-1546,42,-1229,37
242760.0,-1720,67,-1216,76
243780.0,-1319,24,-1078,13
244800.0,-1839,62,-1011,52
245820.0,-1298,19,-1403,91
246840.0,-1254,78,-1548,28
247860.0,-1237,35,-1483,67
248880.0,-1438,94,-1252,4
249900.0,-1760,51,-1115,43
250920.0,-1506,8,-1400,82
251940.0,-1389,54,-1377,19
252960.0,-1300,100,-1533,58
253980.0,-1037,44,-1566,97
255000.0,-1480,90,-1678,34
256020.0,-887,34,-1555,73
257040.0,-1431,80,-1591,10
258060.0,-1005,24,-1391,49
