step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,66,32,31.3
1836,82,33,24.0
2448,28,48,27.3
3060,30,66,29.0
3672,13,97,27.7
4284,10,38,26.3
4896,88,55,24.7
5508,65,41,29.7
6120,74,101,31.0
6732,58,92,27.7
7344,43,31,31.0
7956,0,91,29.3
8568,50,28,30.3
9180,1,56,22.7
9792,58,25,32.0
10404,95,69,28.0
11016,24,80,21.3
11628,95,68,25.0
12240,82,57,28.3
12852,97,84,29.7
13464,90,90,31.7
14076,71,34,26.3
14688,7,73,23.3
15300,96,9,29.7
15912,89,44,25.0
16524,52,0,28.7
17136,99,58,23.0
17748,94,19,29.3
18360,88,15,29.0
18972,78,87,27.3
19584,84,1,26.5
20196,42,82,27.0
20808,24,6,26.7
21420,10,22,25.0
22032,97,92,30.7
22644,56,22,31.7
23256,58,89,29.0
23868,23,67,24.7
24480,6,22,26.3
25092,38,67,29.0
25704,37,88,28.0
26316,58,77,29.3
26928,22,99,26.7
27540,5,9,24.3
28152,97,36,23.0
28764,13,80,22.3
29376,15,98,24.7
29988,101,34,25.0
30600,59,28,31.7
31212,16,13,25.3
31824,99,29,28.7
32436,12,42,24.3
33048,21,64,23.7
33660,90,40,23.0
34272,97,53,24.3
34884,42,11,27.7
35496,38,45,28.7
36108,15,17,28.7
36720,56,11,29.3
37332,54,54,28.3
37944,61,95,29.0
38556,23,68,24.3
39168,18,18,25.3
39780,52,75,27.3
40392,59,95,27.7
41004,99,78,26.0
41616,43,67,25.7
42228,89,5,27.0
42840,6,98,25.7
43452,12,53,21.3
44064,85,53,27.7
44676,8,58,20.3
45288,56,74,31.3
45900,52,96,30.3
46512,80,36,24.0
47124,70,81,28.0
47736,51,42,29.3
48348,93,85,30.3
48960,29,4,25.3
49572,84,101,26.0
50184,18,100,21.3
50796,72,78,28.0
51408,27,89,24.7
52020,34,5,27.3
52632,14,37,24.7
53244,84,46,26.3
53856,80,85,28.7
54468,15,47,26.7
55080,43,94,27.7
55692,73,32,28.3
56304,67,62,31.3
56916,83,46,26.3
57528,76,68,28.3
58140,19,16,27.0
58752,67,94,26.0
59364,60,85,29.0
59976,68,40,31.0
60588,21,9,25.7
61200,92,31,23.3
61812,27,0,25.7
62424,63,94,29.3
63036,75,36,24.7
63648,25,57,26.7
64260,2,46,20.7
64872,32,13,26.7
65484,60,98,29.7
66096,43,46,27.7
66708,33,50,25.3
67320,71,43,32.7
67932,13,32,25.0
68544,66,99,29.0
69156,78,68,27.0
69768,46,17,30.7
70380,24,14,27.3
70992,82,3,30.7
71604,33,19,25.3
72216,96,64,25.0
72828,53,75,29.0
73440,17,59,22.3
