step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,94,59,24.7
1836,99,36,28.7
2448,4,16,23.0
3060,8,44,23.3
3672,96,38,29.7
4284,1,35,25.3
4896,92,35,27.3
5508,97,23,25.7
6120,101,35,27.0
6732,3,90,21.7
7344,3,52,28.0
7956,96,42,26.7
8568,101,38,26.3
9180,101,32,27.3
9792,101,39,27.0
10404,101,33,24.0
11016,101,59,25.7
11628,101,55,27.0
12240,101,54,22.7
12852,101,51,25.0
13464,101,51,27.0
14076,101,50,25.0
14688,101,48,26.0
15300,101,47,24.0
15912,0,44,23.7
16524,91,42,25.0
17136,101,32,29.0
17748,2,43,27.0
18360,88,41,27.3
18972,93,34,28.3
19584,96,53,25.0
20196,99,37,24.3
20808,1,74,22.0
21420,1,38,27.3
22032,94,36,27.3
22644,3,99,22.7
23256,3,32,28.5
23868,99,27,29.3
24480,3,32,29.5
25092,93,32,27.5
25704,97,56,27.0
26316,100,45,25.3
26928,100,39,28.3
27540,1,37,23.3
28152,94,35,28.3
28764,2,32,24.2
29376,94,29,29.0
29988,98,44,27.3
30600,101,41,27.3
31212,0,40,26.0
31824,86,38,30.0
32436,89,31,29.7
33048,91,96,25.0
33660,101,28,25.0
34272,101,36,28.3
34884,101,14,25.0
35496,101,29,25.0
36108,1,39,25.7
36720,90,38,28.3
37332,96,34,29.3
37944,100,87,22.7
38556,6,35,24.0
39168,93,27,29.3
39780,98,40,26.7
40392,2,40,23.7
41004,95,40,27.5
41616,101,40,26.3
42228,6,32,27.5
42840,92,26,29.0
43452,97,33,26.7
44064,100,52,23.0
44676,0,46,24.7
45288,89,40,28.0
45900,93,39,26.7
46512,95,39,27.5
47124,95,39,29.7
47736,95,34,28.3
48348,95,14,29.0
48960,95,29,27.2
49572,97,39,29.0
50184,97,31,28.0
50796,98,51,26.3
51408,98,34,27.3
52020,98,93,23.0
52632,1,26,28.3
53244,89,20,26.3
53856,96,35,30.0
54468,96,12,24.7
55080,96,37,27.7
55692,96,31,26.0
56304,96,43,25.3
56916,97,38,27.0
57528,98,36,26.7
58140,101,15,19.7
58752,1,34,27.7
59364,91,29,29.7
59976,94,33,27.3
60588,94,64,26.3
61200,94,35,31.3
61812,94,2,23.3
62424,94,28,28.0
63036,94,36,28.7
63648,94,22,28.7
64260,94,39,26.0
64872,94,36,27.3
65484,94,29,29.3
66096,95,38,27.5
66708,98,32,30.7
67320,100,52,24.7
67932,2,45,26.0
68544,93,40,30.3
69156,99,34,27.3
69768,100,82,20.7
70380,100,54,20.0
70992,100,44,27.3
71604,100,37,26.0
72216,100,16,24.0
72828,100,30,28.3
73440,100,33,26.7
74052,100,41,27.3
74664,100,27,26.7
75276,100,27,37.3
75888,100,30,27.7
76500,100,34,29.3
77112,101,75,25.0
77724,0,57,26.3
78336,98,41,24.7
78948,101,38,26.7
79560,3,30,28.0
80172,89,26,28.3
80784,95,33,27.0
81396,100,90,21.7
82008,9,67,24.0
82620,9,49,23.0
83232,6,36,27.7
83844,97,33,29.0
84456,0,47,26.7
85068,94,40,26.0
85680,100,36,26.0
