step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
1020,24,35,-9,84
1530,45,42,8,76
2040,66,24,-5,81
2550,80,95,0,81
3060,57,30,7,74
3570,71,99,1,73
4080,48,58,-3,76
4590,14,47,-8,84
5100,36,50,-2,86
5610,57,39,8,78
6120,70,59,7,71
6630,28,81,-9,80
7140,38,40,4,76
7650,59,22,1,75
8160,73,93,-8,83
8670,94,82,1,82
9180,52,17,9,73
9690,66,88,-9,82
10200,43,77,-2,84
10710,64,66,3,81
11220,6,55,-5,86
11730,16,14,6,80
12240,37,98,-2,82
12750,58,57,7,75
13260,16,77,-6,81
13770,26,36,2,79
14280,47,39,4,75
14790,68,59,-3,78
15300,26,45,3,75
15810,36,34,-10,85
16320,57,16,11,74
16830,71,87,-8,82
17340,48,22,9,73
17850,54,15,1,72
18360,68,86,-12,84
18870,89,21,10,74
19380,1,38,-2,76
19890,11,41,-4,80
20400,21,44,-5,85
20910,31,47,6,79
21420,52,36,4,75
21930,73,56,-4,79
22440,50,52,2,77
22950,71,72,0,77
23460,48,7,2,75
23970,61,80,-6,81
24480,38,69,6,75
24990,59,58,-3,78
25500,17,78,-6,84
26010,27,37,2,82
26520,48,26,9,73
27030,61,46,2,71
27540,35,66,-8,79
28050,56,55,2,77
28560,54,75,-2,79
29070,64,64,1,78
29580,41,53,-10,88
30090,62,42,12,76
30600,60,38,2,74
31110,58,34,-2,76
31620,71,27,-4,80
32130,85,98,-3,83
32640,4,33,2,81
33150,14,36,-3,84
33660,36,39,7,77
34170,57,95,1,76
34680,34,54,-6,82
35190,44,43,-1,83
35700,65,25,7,76
36210,79,96,-4,80
36720,100,31,-3,83
37230,12,68,4,79
37740,22,27,-4,83
38250,47,9,4,79
38760,60,82,-7,86
39270,81,71,7,79
39780,39,6,3,76
40290,52,79,-9,85
40800,73,68,3,82
41310,31,88,-3,85
41820,41,47,10,75
42330,62,36,1,74
42840,75,29,0,74
43350,89,100,-7,81
43860,8,35,-2,83
44370,18,42,-4,87
44880,40,49,7,80
45390,61,38,-1,81
45900,74,34,3,78
46410,88,27,-1,79
46920,0,44,-5,84
47430,10,47,3,81
47940,20,50,-3,84
48450,30,53,-1,85
48960,40,42,-1,86
49470,61,31,12,74
49980,75,27,-5,79
50490,36,98,-1,80
51000,46,57,-3,83
51510,67,46,5,78
52020,41,42,3,75
52530,62,24,-1,76
53040,76,20,4,72
53550,90,91,-7,79
54060,48,26,6,73
54570,62,8,0,73
55080,36,81,-11,84
55590,57,40,7,77
56100,35,60,-8,85
56610,45,49,7,78
57120,66,38,4,74
57630,53,34,-2,76
58140,66,16,1,75
58650,80,87,-6,81
59160,57,22,7,74
59670,71,93,-7,81
60180,48,28,11,70
60690,61,21,-5,75
61200,75,92,-5,80
61710,52,27,10,70
62220,66,20,-2,72
62730,80,91,-8,80
63240,91,26,2,78
63750,3,63,-9,87
64260,13,100,7,80
64770,23,35,-7,87
65280,44,42,12,75
65790,65,31,0,75
66300,79,27,-4,79
66810,93,44,-1,80
67320,5,33,-7,87
67830,15,84,7,80
68340,25,43,2,78
68850,35,32,3,75
69360,56,14,0,75
69870,52,87,-9,84
70380,73,46,8,76
70890,60,42,1,75
71400,58,62,1,74
71910,56,51,0,74
72420,14,71,-10,84
72930,24,30,3,81
73440,45,19,3,78
73950,58,39,7,71
74460,36,82,-15,86
74970,57,41,11,75
75480,55,23,3,72
75990,69,94,-9,81
76500,90,83,3,78
