step_time,gneJ00_offset,gneJ9_offset,reward
612,60,51,19.02777777777778
918,48,49,1.5233644859813085
1224,63,45,1.4414414414414414
1530,83,43,0.13274336283185842
1836,76,40,-1.7297297297297298
2142,72,37,-0.7589285714285714
2448,68,34,0.8103448275862069
2754,56,31,-1.768
3060,42,28,-4.984
3366,67,26,-0.43846153846153846
3672,90,23,2.5037593984962405
3978,81,20,2.330508474576271
4284,91,17,-5.496402877697841
4590,93,15,-0.9219858156028369
4896,14,10,-2.047945205479452
5202,29,7,-4.469798657718121
5508,52,4,-2.151315789473684
5814,96,1,1.232258064516129
6120,1,0,19.476190476190474
6426,34,100,-3.5794392523364484
6732,47,98,5.622641509433962
7038,60,97,3.822429906542056
7344,63,95,2.1743119266055047
7650,86,93,-0.6216216216216216
7956,7,90,-0.21052631578947367
8262,10,87,1.829059829059829
8568,17,85,-2.0756302521008405
8874,40,83,-1.6942148760330578
9180,0,81,5.018867924528302
9486,17,79,0.8666666666666667
9792,27,77,-2.7196261682242993
10098,40,74,-0.07272727272727272
10404,70,72,-2.2232142857142856
10710,62,69,2.1565217391304348
11016,55,66,-7.849056603773585
11322,47,64,-0.34285714285714286
11628,42,63,-3.641509433962264
11934,37,61,-5.796296296296297
12240,30,58,-1.3423423423423424
12546,25,55,-3.3421052631578947
12852,18,53,1.1415094339622642
13158,11,52,-1.9134615384615385
13464,7,50,4.009433962264151
13770,94,47,-3.467889908256881
14076,90,46,-0.6605504587155964
14382,86,43,-2.6814159292035398
14688,79,40,-1.0862068965517242
14994,75,37,5.587155963302752
15300,71,36,3.088495575221239
15606,59,35,1.2479338842975207
15912,55,34,-1.7232142857142858
16218,43,32,-5.129032258064516
16524,66,30,-1.7698412698412698
16830,62,27,7.12037037037037
17136,85,24,-4.106060606060606
17442,98,28,-5.201970443349754
17748,21,26,11.115384615384615
18054,44,24,-4.136363636363637
18360,57,22,-1.6119402985074627
18666,64,20,0.8308823529411765
18972,74,18,1.963768115942029
19278,97,16,-0.9857142857142858
19584,101,15,-2.0425531914893615
19890,22,14,-1.8591549295774648
20196,26,15,-9.40329218106996
20502,49,12,10.652777777777779
20808,89,10,2.6164383561643834
21114,2,9,1.6326530612244898
21420,25,7,-3.9261744966442955
21726,48,5,-2.7880794701986753
22032,55,1,-4.187096774193549
22338,62,101,31.92452830188679
22644,85,98,4.537735849056604
22950,98,97,-1.925233644859813
23256,101,95,3.055045871559633
23562,22,94,1.1454545454545455
23868,23,91,2.743362831858407
24174,26,90,1.6754385964912282
24480,29,87,-1.9658119658119657
24786,36,84,2.55
25092,59,81,2.4245283018867925
25398,76,78,4.10377358490566
25704,80,75,-2.532110091743119
26010,97,72,-0.11607142857142858
26316,89,71,-0.8849557522123894
26622,29,70,1.3245614035087718
26928,43,67,-2.358974358974359
27234,36,65,-3.392523364485981
27540,74,62,3.2242990654205608
27846,67,60,-2.036697247706422
28152,63,57,1.2149532710280373
28458,56,55,-6.7657657657657655
28764,49,52,-0.037383177570093455
29070,45,50,-3.0
29376,30,48,-1.6388888888888888
29682,26,45,-2.8468468468468466
29988,19,42,-1.5
30294,15,39,-6.162393162393163
30600,11,36,-2.966666666666667
30906,101,34,4.786324786324786
31212,89,33,-1.8373983739837398
31518,39,32,0.25806451612903225
31824,62,30,-4.357142857142857
32130,58,27,1.6055045871559632
32436,81,24,-2.3333333333333335
32742,94,21,-1.0444444444444445
33048,6,20,1.536764705882353
33354,16,18,1.8405797101449275
33660,39,15,-6.297872340425532
33966,62,13,-5.65034965034965
34272,0,10,2.808219178082192
34578,15,7,-0.2751677852348993
34884,38,4,-5.703947368421052
35190,82,2,1.922077922077922
35496,23,101,26.5188679245283
35802,46,100,5.4423076923076925
36108,59,97,3.607476635514019
36414,62,94,1.3818181818181818
36720,63,91,2.2389380530973453
37026,52,89,-4.826086956521739
37332,55,86,2.8728813559322033
37638,3,84,4.416666666666667
37944,26,81,7.113207547169812
38250,43,78,-1.2547169811320755
38556,47,76,0.37962962962962965
38862,62,75,-0.09174311926605505
39168,79,72,-2.794642857142857
39474,71,69,0.4336283185840708
39780,64,68,0.19230769230769232
40086,56,66,-1.1037735849056605
40392,48,63,-4.056603773584905
40698,43,59,-3.8727272727272726
41004,39,57,-2.6607142857142856
41310,32,55,-2.710526315789474
41616,25,52,1.6074766355140186
41922,21,50,-0.4811320754716981
42228,6,48,-4.055555555555555
42534,2,46,1.7363636363636363
42840,100,44,-2.1607142857142856
43146,96,39,-0.21367521367521367
43452,92,38,2.8130841121495327
43758,83,37,-4.362068965517241
44064,79,34,4.916666666666667
44370,67,31,1.5042735042735043
44676,53,28,-3.6324786324786325
44982,78,25,-1.6106870229007633
45288,74,22,11.872727272727273
45594,88,20,-4.0
45900,98,19,-1.5547445255474452
46206,100,17,-2.223021582733813
46512,0,12,-1.2152777777777777
46818,40,10,-8.89041095890411
47124,55,8,-2.7905405405405403
47430,85,6,4.193333333333333
47736,98,5,-1.4834437086092715
48042,3,3,-1.0065359477124183
48348,26,0,-5.5576923076923075
48654,33,99,22.27777777777778
48960,56,96,6.0092592592592595
49266,67,93,0.7927927927927928
49572,90,90,2.7982456140350878
49878,93,87,5.051282051282051
50184,100,85,-1.0168067226890756
50490,21,80,3.685483870967742
50796,24,78,1.490566037735849
51102,28,76,2.0462962962962963
51408,43,73,-1.5765765765765767
51714,83,71,-3.185840707964602
52020,23,68,1.9310344827586208
52326,15,67,1.6095238095238096
52632,8,64,-1.8425925925925926
52938,3,61,-3.5277777777777777
53244,98,58,1.2522522522522523
53550,93,56,2.36697247706422
53856,90,54,-0.6571428571428571
54162,85,51,-0.32407407407407407
54468,73,50,-3.69811320754717
54774,58,48,2.1203703703703702
55080,54,45,-6.162162162162162
55386,47,42,-4.447368421052632
55692,43,41,-5.747826086956522
55998,57,39,-3.324786324786325
56304,53,37,0.2894736842105263
56610,49,34,-4.305084745762712
56916,37,32,-4.588709677419355
57222,60,29,-3.1181102362204722
57528,21,27,3.062015503875969
57834,44,25,-5.068702290076335
58140,30,23,-6.2330827067669174
58446,21,20,-3.8676470588235294
58752,31,18,-2.5072463768115942
59058,54,16,-6.235714285714286
59364,58,13,0.8461538461538461
59670,98,10,1.4452054794520548
59976,11,8,1.0945945945945945
60282,34,6,-7.406666666666666
60588,47,4,-0.3092105263157895
60894,57,3,-1.2549019607843137
61200,80,1,0.5612903225806452
61506,87,100,40.88785046728972
61812,100,99,3.0476190476190474
62118,21,94,-2.7363636363636363
62424,22,92,3.0089285714285716
62730,45,89,3.356521739130435
63036,48,87,4.64957264957265
63342,55,13,-11.769633507853403
63648,95,11,8.220689655172414
63954,0,10,-0.6643835616438356
64260,15,8,-2.0337837837837838
64566,38,5,-6.397350993377484
64872,45,3,-0.45098039215686275
65178,68,1,1.903225806451613
65484,75,100,26.757009345794394
65790,88,99,4.371428571428571
66096,9,97,1.3738317757009346
66402,12,94,1.6272727272727272
66708,19,92,1.8035714285714286
67014,42,89,3.234782608695652
67320,45,87,-1.0
67626,52,85,0.10084033613445378
67932,75,82,-0.6721311475409836
68238,78,81,2.0849056603773586
68544,95,78,3.292452830188679
68850,99,77,-0.7476635514018691
69156,10,90,-6.880208333333333
69462,13,88,9.35344827586207
69768,16,86,-2.516949152542373
70074,66,83,-2.3388429752066116
70380,62,80,3.607476635514019
70686,65,77,0.2897196261682243
70992,78,74,1.3181818181818181
71298,6,71,-0.7787610619469026
71604,48,69,-0.16521739130434782
71910,51,65,-1.158878504672897
72216,89,63,1.3679245283018868
72522,84,62,-0.48598130841121495
72828,77,61,0.46296296296296297
73134,70,59,-1.4181818181818182
73440,66,56,0.20353982300884957
73746,63,53,-3.009433962264151
74052,59,51,-7.295238095238095
74358,47,50,0.02830188679245283
74664,32,49,-1.4579439252336448
74970,28,46,-6.427272727272728
75276,24,43,-3.433628318584071
75582,20,41,-4.026086956521739
75888,27,39,1.2564102564102564
76194,23,36,-4.85
76500,11,34,-0.45901639344262296
76806,101,32,4.367521367521367
77112,22,31,-2.176
77418,8,28,-5.875
77724,33,25,-2.3206106870229006
78030,19,22,-6.8283582089552235
78336,26,19,3.45985401459854
78642,28,16,-5.0
78948,35,13,-5.3776223776223775
79254,75,10,-5.705479452054795
79560,90,9,8.46938775510204
79866,11,6,-3.1266666666666665
80172,18,4,-1.2105263157894737
80478,28,3,-4.895424836601308
80784,51,0,-3.5961538461538463
81090,58,100,42.271028037383175
81396,71,97,6.850467289719626
81702,74,96,5.157407407407407
82008,85,94,2.609090909090909
82314,92,93,1.7837837837837838
82620,13,92,1.1785714285714286
82926,36,90,1.8596491228070176
