step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,6,38,24.3
1836,62,38,30.3
2448,5,13,26.7
3060,11,40,25.3
3672,66,39,31.0
4284,3,15,28.0
4896,9,40,25.7
5508,67,40,31.3
6120,7,18,26.3
6732,13,40,25.7
7344,68,40,27.7
7956,11,20,26.7
8568,16,44,22.0
9180,70,44,28.0
9792,12,17,29.3
10404,21,39,26.0
11016,69,39,26.7
11628,13,14,28.0
12240,19,40,25.3
12852,72,40,27.7
13464,12,22,25.7
14076,21,40,25.3
14688,72,40,26.0
15300,10,26,24.3
15912,16,42,25.3
16524,75,42,28.7
17136,8,24,27.0
17748,17,38,25.0
18360,67,36,26.3
18972,101,19,29.3
19584,9,36,25.7
20196,59,36,31.3
20808,99,10,26.0
21420,7,32,24.3
22032,16,34,22.7
22644,61,33,29.3
23256,3,15,29.0
23868,8,36,27.3
24480,59,35,29.7
25092,0,15,28.3
25704,8,42,25.7
26316,73,42,24.7
26928,5,20,27.0
27540,12,34,25.0
28152,59,26,26.0
28764,7,10,27.3
29376,15,32,22.3
29988,45,24,29.7
30600,85,52,25.3
31212,100,13,30.3
31824,0,31,26.3
32436,12,31,25.0
33048,20,33,24.3
33660,53,27,28.3
34272,98,2,29.7
34884,98,48,27.3
35496,98,23,34.3
36108,0,42,23.3
36720,66,42,29.7
37332,6,6,27.3
37944,10,36,27.0
38556,66,36,30.0
39168,7,18,27.0
39780,16,44,24.0
40392,86,44,25.7
41004,13,32,24.3
41616,59,32,26.3
42228,13,12,24.3
42840,24,38,23.7
43452,69,38,29.0
44064,6,17,26.7
44676,10,42,25.3
45288,69,42,27.7
45900,0,17,27.7
46512,9,40,29.0
47124,64,39,31.0
47736,2,13,29.0
48348,10,35,23.7
48960,62,31,28.7
49572,9,7,25.3
50184,21,32,21.3
50796,66,26,27.0
51408,17,9,26.7
52020,85,35,27.0
52632,9,24,25.3
53244,18,35,25.0
53856,66,30,28.3
54468,10,11,24.0
55080,17,35,22.3
55692,66,35,27.0
56304,11,21,26.3
56916,22,42,29.7
57528,82,40,27.0
58140,5,27,23.7
58752,19,37,26.3
59364,70,37,27.7
59976,14,23,22.0
60588,26,39,28.3
61200,78,37,24.7
61812,9,24,24.7
62424,19,34,23.7
63036,63,30,29.3
63648,9,13,27.7
64260,14,34,24.7
64872,59,33,30.0
65484,7,10,26.0
66096,13,33,27.0
66708,58,31,29.0
67320,7,12,23.7
67932,16,36,23.3
68544,66,34,30.0
69156,7,13,28.0
69768,12,37,21.3
70380,62,35,28.3
70992,2,9,29.7
71604,7,35,23.0
72216,57,34,30.3
72828,6,3,25.7
73440,10,38,23.3
74052,66,38,28.0
74664,9,12,26.3
75276,17,39,23.3
75888,70,39,27.0
76500,6,17,27.3
77112,11,38,25.7
77724,61,38,30.3
78336,0,8,27.7
78948,2,36,24.3
79560,58,31,29.0
80172,0,6,26.3
80784,5,35,27.7
81396,61,35,30.3
82008,1,11,29.0
82620,9,40,23.3
83232,69,40,29.0
83844,6,16,26.7
84456,13,36,23.3
85068,61,34,28.7
85680,4,9,25.0
86292,11,36,25.7
86904,60,33,30.0
87516,0,6,27.0
88128,6,32,24.7
88740,57,26,28.3
89352,0,2,26.7
89964,7,95,21.7
90576,88,16,27.0
91188,2,41,22.7
91800,74,41,27.3
92412,91,18,28.3
93024,101,42,24.3
93636,0,38,27.7
94248,62,38,32.0
94860,94,17,28.0
95472,98,43,24.7
96084,98,34,31.0
96696,99,36,26.7
97308,101,36,25.7
97920,0,36,25.0
98532,57,30,30.7
99144,93,9,28.7
99756,1,30,25.2
100368,10,32,23.0
100980,53,26,27.7
101592,97,7,28.7
102204,7,32,28.3
102816,52,26,29.0
103428,97,7,26.3
104040,5,38,26.0
104652,69,37,29.7
105264,2,15,27.3
105876,12,35,21.7
106488,62,30,27.3
107100,0,12,31.7
107712,8,32,27.0
108324,58,29,29.3
108936,0,11,25.3
109548,3,37,24.7
110160,54,37,30.0
110772,97,11,27.3
111384,97,36,33.7
111996,2,38,26.3
112608,61,36,30.7
113220,96,8,31.3
113832,96,38,28.0
114444,96,28,33.7
115056,96,40,29.7
115668,96,27,32.7
116280,97,38,22.7
116892,97,21,34.0
117504,97,40,28.7
118116,98,27,26.3
118728,99,40,23.0
119340,99,29,29.3
119952,99,39,27.0
120564,99,31,31.7
121176,100,41,24.3
121788,101,35,24.7
122400,4,42,23.7
123012,67,42,30.7
123624,95,10,27.7
124236,101,34,28.3
124848,1,35,23.7
125460,58,35,29.3
126072,100,10,28.0
126684,6,30,25.0
127296,49,24,28.8
127908,98,23,28.0
