step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,12,30,25.0
1836,97,99,27.7
2448,5,28,23.7
3060,82,12,29.0
3672,9,44,23.7
4284,90,39,25.3
4896,101,28,25.7
5508,7,65,21.7
6120,95,59,25.3
6732,100,16,31.3
7344,7,27,25.3
7956,91,0,24.3
8568,11,16,30.7
9180,65,33,29.0
9792,8,11,32.7
10404,12,39,25.3
11016,90,31,26.3
11628,0,84,26.7
12240,98,82,25.3
12852,3,30,27.3
13464,28,21,25.0
14076,95,31,29.3
14688,101,76,24.3
15300,2,33,25.0
15912,33,29,27.7
16524,98,56,25.0
17136,7,35,25.3
17748,89,28,29.0
18360,100,72,24.3
18972,4,31,29.3
19584,83,27,26.0
20196,93,73,25.7
20808,97,32,27.0
21420,101,77,24.0
22032,0,24,26.7
22644,2,10,26.7
23256,2,31,30.3
23868,20,28,24.7
24480,85,80,29.7
25092,88,28,27.3
25704,93,90,30.3
26316,96,29,28.0
26928,100,82,23.7
27540,0,24,24.7
28152,9,11,28.0
28764,14,35,24.0
29376,90,27,28.7
29988,1,86,27.7
30600,98,84,24.3
31212,101,37,24.3
31824,8,17,30.0
32436,15,51,25.3
33048,98,51,23.7
33660,0,23,29.3
34272,5,3,29.8
34884,8,2,26.7
35496,36,1,23.3
36108,10,101,22.3
36720,92,101,27.3
37332,92,56,27.7
37944,96,34,28.3
38556,99,22,29.3
39168,5,62,24.0
39780,92,62,27.7
40392,97,41,23.0
41004,100,39,25.3
41616,100,33,31.3
42228,101,13,28.3
42840,9,34,24.7
43452,82,30,28.3
44064,90,17,30.0
44676,1,53,22.3
45288,79,53,29.0
45900,3,40,27.7
46512,88,40,24.3
47124,96,40,25.3
47736,101,40,22.7
48348,1,40,27.0
48960,85,40,25.0
49572,93,40,26.3
50184,97,34,26.7
50796,5,0,29.8
51408,11,0,25.0
52020,15,0,25.7
52632,19,0,24.0
53244,22,0,22.7
53856,68,0,27.0
54468,11,31,26.3
55080,84,8,28.3
55692,100,32,29.3
56304,100,67,31.7
56916,100,15,31.7
57528,100,35,29.3
58140,100,100,34.3
58752,100,23,34.3
59364,100,57,27.7
59976,100,16,35.7
60588,0,46,25.0
61200,83,46,25.3
61812,96,23,29.0
62424,0,70,22.3
63036,90,70,29.7
63648,94,28,29.7
64260,98,80,24.0
64872,100,28,26.7
65484,8,74,20.3
66096,101,74,25.0
66708,2,30,26.7
67320,32,30,22.3
67932,98,93,26.0
68544,0,41,26.0
69156,82,41,24.3
69768,0,29,26.7
70380,9,29,22.3
70992,84,9,30.7
71604,10,22,28.0
72216,94,54,25.3
72828,3,33,25.7
73440,91,33,27.3
74052,1,95,25.3
74664,100,95,23.7
75276,3,48,23.7
75888,84,41,23.0
76500,93,34,25.7
77112,100,79,23.3
77724,0,39,24.7
78336,87,35,24.7
78948,97,100,27.3
79560,3,42,23.0
80172,90,39,23.3
80784,4,19,27.3
81396,11,50,23.7
82008,95,49,24.3
82620,9,35,28.7
83232,95,35,28.0
83844,5,95,23.5
84456,3,95,27.0
85068,1,95,27.7
85680,101,95,27.3
86292,10,24,27.0
86904,92,71,26.0
87516,11,22,27.3
88128,94,51,25.7
88740,16,21,25.7
89352,96,40,25.3
89964,5,32,27.0
90576,96,26,25.7
91188,9,35,27.3
91800,93,32,25.7
92412,5,1,26.0
93024,6,100,28.0
93636,97,99,28.0
94248,5,44,21.2
94860,84,42,26.3
95472,6,22,27.7
96084,19,97,22.3
96696,99,94,28.0
97308,5,37,22.5
97920,89,35,25.0
98532,0,26,26.7
99144,17,22,24.7
99756,95,48,23.3
100368,6,18,31.0
100980,12,49,22.0
101592,85,47,27.7
102204,5,21,27.7
102816,13,71,20.0
103428,99,69,25.0
104040,0,29,28.3
104652,12,28,25.7
105264,88,95,26.3
105876,97,39,25.0
106488,101,30,25.7
107100,0,74,23.3
107712,88,74,27.3
108324,91,31,27.7
108936,92,101,30.7
109548,94,38,24.7
110160,97,30,24.7
110772,99,59,25.0
111384,1,22,31.0
111996,5,88,25.3
112608,98,86,26.3
113220,101,30,26.3
113832,7,40,26.3
114444,87,40,26.3
115056,97,35,23.7
115668,1,93,27.3
116280,95,88,29.0
116892,0,34,25.3
117504,25,28,22.3
118116,91,57,25.7
118728,97,20,32.7
119340,1,24,27.3
119952,6,13,27.3
120564,6,27,24.0
121176,85,9,26.7
121788,2,27,26.0
122400,13,19,28.3
123012,93,32,25.3
123624,100,0,29.7
124236,15,30,26.7
124848,90,99,30.3
125460,92,45,24.0
126072,101,36,24.0
126684,5,25,26.0
127296,43,10,26.0
127908,8,10,26.0
128520,8,44,23.7
129132,83,44,24.0
129744,100,26,28.7
130356,5,50,24.8
130968,80,50,28.7
131580,98,26,28.3
132192,1,44,24.3
132804,83,44,26.3
133416,3,32,24.7
134028,87,32,27.0
134640,96,9,29.3
135252,10,18,26.7
135864,89,42,24.7
136476,97,38,27.3
137088,0,22,27.7
137700,4,99,24.7
138312,86,99,29.3
138924,88,45,25.3
139536,92,24,27.0
140148,100,29,25.7
140760,2,32,26.0
141372,84,26,28.0
141984,92,42,25.0
142596,96,34,27.0
143208,98,71,23.7
143820,100,27,27.3
144432,1,36,26.0
145044,83,36,23.3
145656,85,15,30.0
146268,96,32,28.0
146880,1,55,25.0
147492,87,55,27.0
148104,3,24,29.3
148716,12,8,27.7
149328,17,8,27.0
149940,1,8,27.7
150552,4,38,26.7
151164,85,38,25.7
151776,91,31,25.3
152388,92,88,29.3
153000,97,7,26.7
153612,101,73,24.7
154224,101,0,35.0
154836,0,87,23.0
155448,97,86,27.7
156060,100,9,28.3
156672,4,87,24.7
157284,1,85,24.7
157896,101,85,23.0
158508,4,15,27.3
159120,6,39,24.0
159732,88,39,25.7
160344,100,38,24.3
160956,6,28,29.0
161568,93,14,28.5
162180,4,61,20.7
162792,90,58,26.0
163404,3,10,28.7
164016,6,32,23.0
164628,86,26,29.0
165240,96,57,24.3
165852,4,8,26.7
166464,11,36,25.0
167076,93,25,29.7
167688,2,41,23.3
168300,86,37,27.0
168912,94,11,29.3
169524,99,30,27.7
170136,100,43,24.7
170748,2,12,26.7
171360,2,37,28.7
171972,82,37,25.3
172584,91,27,29.3
173196,99,52,24.3
173808,3,22,28.3
174420,10,84,22.0
175032,98,84,26.3
175644,2,19,28.7
176256,11,67,20.0
176868,1,67,23.7
177480,95,66,24.7
178092,3,24,26.3
178704,16,4,24.3
179316,16,96,23.0
179928,99,85,26.7
180540,5,25,26.3
181152,63,3,25.7
181764,5,59,24.2
182376,94,54,24.3
182988,2,21,28.7
183600,9,86,16.7
184212,0,78,23.3
184824,96,74,25.3
185436,100,23,26.3
186048,5,48,24.8
186660,87,48,24.7
187272,98,22,29.0
187884,3,34,26.3
188496,83,29,26.0
189108,91,70,28.0
189720,95,28,30.0
190332,0,45,23.7
190944,80,45,28.3
191556,4,18,26.3
192168,6,58,22.3
192780,89,53,26.0
193392,100,22,27.7
194004,6,22,27.3
194616,18,79,22.3
195228,0,74,24.0
195840,96,69,26.3
196452,97,14,23.7
197064,8,16,27.0
197676,12,45,22.7
198288,90,44,25.3
198900,2,7,30.3
199512,8,40,23.3
200124,90,39,25.3
200736,7,13,26.3
201348,12,27,26.3
201960,95,76,25.7
202572,3,19,27.3
203184,17,69,20.3
203796,4,67,20.7
204408,0,66,22.7
205020,91,65,26.7
205632,99,25,27.7
206244,9,51,22.7
206856,88,51,25.3
207468,98,20,29.3
208080,5,44,21.8
208692,76,41,29.3
209304,0,7,27.7
209916,1,4,27.3
210528,8,0,29.0
211140,8,98,26.3
211752,93,93,29.3
212364,99,21,28.7
212976,13,30,24.7
213588,92,85,28.7
214200,97,9,30.0
214812,8,18,29.3
215424,13,48,26.0
216036,83,42,25.7
216648,6,0,27.3
217260,8,97,23.7
217872,96,93,28.0
218484,100,13,26.7
219096,7,35,25.3
219708,83,31,23.0
220320,100,8,27.0
220932,7,40,25.0
221544,83,39,26.0
222156,7,19,28.0
222768,10,59,23.0
223380,93,56,25.3
223992,101,16,27.7
224604,12,39,25.7
225216,93,37,25.7
225828,8,11,26.3
226440,13,38,23.3
227052,87,28,26.0
227664,0,66,23.0
228276,90,59,26.0
228888,4,4,29.7
229500,15,99,25.0
230112,99,91,30.0
230724,0,101,26.3
231336,92,92,30.0
231948,96,7,27.3
232560,7,11,25.0
233172,10,32,25.3
233784,92,16,28.3
234396,9,34,24.7
235008,91,23,28.7
235620,6,45,23.3
236232,85,36,26.7
236844,4,20,28.0
237456,10,73,20.0
238068,1,71,24.7
238680,91,71,26.0
239292,95,14,27.2
239904,99,29,25.3
240516,4,59,24.0
241128,90,58,26.3
241740,93,4,31.7
242352,101,27,26.0
242964,5,48,25.3
243576,85,48,25.7
244188,4,9,29.3
244800,7,49,21.0
245412,84,49,23.0
246024,3,12,31.3
246636,4,42,25.3
247248,86,38,23.7
247860,14,99,24.3
248472,100,92,27.0
249084,7,18,24.7
249696,15,47,25.7
250308,93,42,24.3
250920,14,8,26.0
251532,60,3,27.0
252144,2,32,26.0
252756,52,31,29.3
253368,10,91,22.7
253980,0,90,26.0
254592,99,90,27.7
255204,7,26,22.7
255816,92,7,30.0
256428,3,20,28.3
257040,11,88,21.3
257652,96,85,26.7
258264,100,29,27.0
258876,4,90,26.3
259488,90,90,30.7
260100,94,35,26.7
260712,4,8,29.7
261324,5,36,25.7
261936,84,32,26.0
262548,6,0,27.0
263160,6,0,26.3
263772,6,0,24.0
264384,6,0,29.3
264996,6,101,23.3
265608,91,97,30.0
266220,99,24,28.7
266832,101,57,23.0
267444,2,13,28.0
268056,2,37,28.3
268668,79,30,28.0
269280,100,93,26.0
269892,100,12,33.0
270504,101,27,27.3
271116,6,76,22.3
271728,98,72,23.7
272340,4,16,23.3
272952,8,47,25.7
273564,80,44,26.3
274176,101,7,28.7
274788,101,21,33.0
275400,1,50,24.0
276012,77,49,29.7
276624,1,20,28.0
277236,8,85,24.3
277848,96,85,28.3
278460,100,26,27.7
279072,1,85,24.0
279684,95,82,28.0
280296,95,18,34.0
280908,98,49,24.0
281520,0,7,26.3
282132,3,3,25.3
282744,10,1,25.7
283356,10,100,26.3
283968,92,96,27.7
284580,96,26,28.0
285192,100,93,28.0
285804,100,20,35.7
286416,3,48,22.7
287028,81,46,26.7
287640,3,14,28.5
288252,4,49,22.3
288864,78,49,27.7
289476,98,25,28.3
290088,100,96,27.3
290700,100,40,28.0
291312,4,21,26.3
291924,7,93,21.7
292536,95,93,28.0
293148,98,39,25.3
293760,5,23,31.2
294372,16,98,20.0
294984,92,98,28.0
295596,96,44,24.7
296208,0,27,26.7
296820,24,27,20.3
297432,93,79,27.3
298044,96,39,26.0
298656,4,26,26.0
299268,27,17,23.0
299880,3,17,27.0
300492,5,62,22.2
301104,83,62,28.5
301716,92,30,27.3
302328,98,14,27.3
302940,98,58,28.0
303552,99,23,28.3
304164,0,87,24.3
304776,93,87,27.7
305388,96,32,27.7
306000,0,20,29.0
306612,5,83,23.3
307224,98,83,24.7
307836,99,34,26.0
308448,3,19,25.7
309060,8,70,20.7
309672,95,70,23.0
310284,97,22,29.0
310896,101,73,25.0
311508,101,32,31.0
312120,0,19,26.7
312732,6,82,21.0
313344,95,82,29.0
313956,100,29,27.0
314568,4,13,29.3
315180,6,44,23.3
315792,82,37,26.7
316404,6,10,28.7
317016,6,36,25.0
317628,80,26,25.7
318240,98,95,28.7
318852,98,31,31.0
319464,98,12,34.0
320076,98,30,31.0
320688,98,6,31.7
321300,98,18,28.7
321912,98,44,31.3
322524,1,19,30.0
323136,6,79,25.3
323748,95,79,27.0
324360,95,28,29.3
324972,99,4,27.3
325584,100,14,28.0
326196,100,34,28.7
326808,2,7,27.3
327420,2,25,33.3
328032,12,3,25.3
328644,3,96,28.7
329256,88,89,28.3
329868,92,29,26.7
330480,94,2,29.7
331092,97,10,30.3
331704,0,21,25.3
332316,12,80,21.7
332928,101,72,23.3
333540,3,20,27.7
334152,13,67,21.0
334764,97,54,24.0
335376,2,10,30.0
335988,4,27,25.0
336600,25,6,25.7
337212,20,101,24.0
337824,99,96,27.3
338436,4,30,26.0
339048,37,18,28.7
339660,7,12,26.0
340272,9,34,24.7
340884,84,20,27.7
341496,96,62,22.7
342108,101,20,25.7
342720,6,54,21.0
343332,84,54,26.0
343944,6,17,29.7
344556,14,54,27.0
345168,91,48,25.7
345780,2,14,26.3
346392,8,33,26.0
347004,86,23,27.7
347616,101,75,25.0
348228,1,10,27.7
348840,3,21,28.3
349452,10,89,22.0
350064,92,89,30.7
350676,95,12,28.3
351288,0,35,26.0
351900,52,32,27.0
352512,2,89,22.7
353124,93,88,26.7
353736,96,12,26.7
354348,0,40,22.0
354960,64,34,27.3
355572,1,95,24.3
356184,86,86,26.0
356796,91,15,28.3
357408,95,53,24.0
358020,1,20,25.3
358632,10,78,21.7
359244,90,76,25.0
359856,98,25,24.3
360468,100,83,26.0
361080,100,28,29.3
361692,100,98,38.3
362304,100,33,31.0
362916,0,21,26.3
363528,11,93,23.0
364140,90,93,27.7
364752,90,42,26.3
365364,95,32,26.7
365976,95,23,31.7
366588,98,100,28.0
367200,98,47,25.7
367812,98,41,28.0
368424,99,35,26.0
369036,99,24,31.7
369648,99,92,41.7
370260,99,46,27.0
370872,100,40,23.3
371484,3,25,26.3
372096,24,19,26.7
372708,94,13,29.7
373320,94,65,29.3
373932,94,39,28.7
374544,1,28,27.3
375156,35,23,27.7
375768,100,13,27.7
376380,100,55,29.7
376992,0,39,24.0
377604,61,33,30.0
378216,0,15,27.3
378828,5,43,24.0
379440,73,37,29.7
380052,5,18,26.2
380664,12,69,19.7
381276,91,66,25.3
381888,101,34,25.7
382500,3,18,24.3
383112,4,73,22.3
383724,69,73,31.0
384336,95,39,23.0
384948,0,32,27.3
385560,40,32,28.0
386172,98,0,26.0
386784,99,40,26.3
387396,0,35,24.7
388008,59,34,34.0
388620,8,12,25.0
389232,11,32,26.0
389844,80,4,28.3
390456,97,23,27.3
391068,100,71,24.7
391680,100,35,31.7
392292,1,16,28.7
392904,6,61,21.7
393516,67,58,32.3
394128,100,31,27.7
394740,2,17,26.7
395352,9,63,24.0
395964,78,59,29.3
396576,101,30,25.3
397188,4,13,25.3
397800,4,35,24.7
398412,57,31,27.3
399024,3,11,30.3
399636,3,33,30.3
400248,47,30,28.0
400860,5,101,28.0
401472,79,98,29.0
402084,94,41,25.3
402696,7,30,23.0
403308,80,24,27.3
403920,100,1,28.3
404532,7,33,25.3
405144,74,29,28.0
405756,5,17,26.5
406368,12,64,22.3
406980,82,61,26.0
407592,2,23,25.7
408204,23,10,25.0
408816,8,9,24.3
409428,8,36,24.3
410040,69,27,26.3
410652,2,12,28.0
411264,6,37,25.7
411876,71,32,27.3
412488,4,19,30.7
413100,13,77,21.0
413712,86,77,27.3
414324,94,29,27.3
414936,99,21,26.7
415548,6,74,22.3
416160,78,74,30.7
416772,100,26,27.3
417384,6,90,21.0
417996,89,88,29.0
418608,98,27,26.0
419220,4,101,25.0
419832,85,101,32.3
420444,92,32,26.3
421056,98,16,24.3
421668,4,55,21.3
422280,73,55,30.7
422892,0,31,31.3
423504,44,31,28.7
424116,8,99,26.7
424728,93,99,28.7
425340,101,37,24.3
425952,6,22,25.7
426564,20,81,21.3
427176,95,76,25.7
427788,100,29,26.7
428400,6,100,25.0
429012,86,98,27.7
429624,97,20,29.0
430236,6,40,25.3
430848,65,32,29.7
431460,5,10,25.5
432072,5,39,23.3
432684,70,33,28.7
433296,4,9,28.7
433908,4,42,23.7
434520,72,42,29.7
435132,100,21,28.0
435744,0,45,25.3
436356,65,44,32.0
436968,0,13,30.7
437580,8,38,23.0
438192,73,26,28.0
438804,0,84,26.0
439416,44,82,27.7
440028,100,16,28.0
440640,0,37,25.0
441252,47,37,31.3
441864,3,98,27.3
442476,74,97,29.0
443088,96,10,30.3
443700,99,31,26.3
444312,101,84,23.3
444924,101,7,33.7
445536,3,30,28.0
446148,55,28,29.0
446760,3,3,26.0
447372,15,3,26.7
447984,15,3,25.7
448596,15,3,25.3
449208,15,3,24.7
449820,15,3,28.0
450432,10,2,27.3
451044,97,0,29.7
451656,97,60,26.3
452268,100,26,29.0
452880,101,68,23.3
453492,101,16,33.7
454104,101,64,29.0
454716,0,24,26.3
455328,24,101,24.7
455940,91,69,29.0
456552,98,4,29.7
457164,100,69,23.3
457776,1,22,26.0
458388,23,95,22.0
459000,99,81,26.7
459612,7,18,28.7
460224,20,49,23.0
460836,81,44,26.0
461448,99,35,25.0
462060,101,6,27.3
462672,101,86,28.3
463284,101,28,33.7
463896,101,97,34.3
464508,101,34,31.3
465120,1,3,28.7
465732,11,1,24.0
466344,11,101,23.7
466956,83,97,25.7
467568,85,34,26.0
468180,98,20,26.0
468792,98,1,32.0
469404,98,93,33.3
470016,98,33,30.3
470628,98,3,35.3
471240,98,88,34.3
471852,100,25,27.0
472464,101,0,28.7
473076,101,85,32.7
473688,101,25,28.3
474300,101,3,34.3
474912,101,89,30.0
475524,2,23,26.3
476136,26,3,22.3
476748,15,97,21.0
477360,94,89,29.7
