step_time,gneJ00_offset,gneJ9_offset,queue_sum
177480,3,0,33.3
178092,4,101,27.3
178704,71,101,33.3
179316,1,89,28.3
179928,63,92,29.0
180540,99,86,28.7
181152,0,86,28.7
181764,54,91,26.3
182376,87,78,29.3
182988,98,74,29.0
183600,98,71,36.0
184212,99,71,28.3
184824,100,71,28.7
185436,101,71,28.0
186048,0,71,26.7
186660,61,77,27.7
187272,98,75,27.3
187884,100,75,29.3
188496,1,75,30.0
189108,65,75,34.7
189720,4,69,25.0
190332,68,72,28.7
190944,99,72,27.3
191556,99,72,31.3
192168,99,72,35.0
192780,99,72,34.3
193392,99,72,32.7
194004,100,71,28.7
194616,100,71,33.7
195228,100,70,33.7
195840,0,70,28.0
196452,63,75,28.0
197064,100,74,30.3
197676,3,74,27.3
198288,73,76,32.0
198900,1,73,25.7
199512,70,73,33.3
200124,4,71,25.7
200736,71,72,28.3
201348,9,72,22.7
201960,75,8,29.3
202572,4,8,26.0
203184,8,8,29.3
203796,8,8,31.7
204408,11,8,27.0
205020,12,8,25.0
205632,16,8,30.0
206244,21,8,25.7
206856,10,99,25.7
207468,71,99,32.7
208080,15,88,21.0
208692,78,78,27.7
209304,14,73,22.0
209916,85,63,31.7
210528,3,58,26.3
211140,80,58,34.7
211752,4,57,23.7
212364,82,57,35.3
212976,6,57,24.0
213588,86,62,30.0
214200,3,62,26.3
214812,79,67,29.3
215424,3,67,25.0
216036,71,75,30.0
216648,6,75,27.3
217260,69,81,27.7
217872,9,81,24.7
218484,70,84,26.3
219096,14,84,27.2
219708,71,73,27.0
220320,13,73,23.0
220932,79,73,28.7
221544,12,73,24.7
222156,75,59,28.7
222768,6,58,25.7
223380,78,58,32.3
223992,101,55,26.0
224604,6,50,23.2
225216,81,55,31.7
225828,100,47,26.3
226440,7,41,22.0
227052,94,33,25.7
227664,1,42,22.7
228276,82,42,31.0
228888,98,38,24.3
229500,100,100,29.0
230112,3,96,30.3
230724,71,96,31.0
231336,5,86,27.7
231948,78,86,32.7
232560,10,82,25.7
233172,70,25,31.7
233784,3,83,31.0
234396,73,84,27.7
235008,16,82,25.3
235620,79,76,30.0
236232,13,76,25.7
236844,77,70,30.0
237456,6,70,27.0
238068,74,72,28.7
238680,5,70,26.0
239292,82,72,29.0
239904,0,71,27.7
240516,73,71,32.0
241128,1,70,27.7
241740,73,70,34.3
242352,4,68,26.3
242964,80,68,34.0
243576,3,66,28.0
244188,81,66,35.3
244800,3,60,26.3
245412,83,60,32.3
246024,2,51,22.7
246636,77,51,30.0
247248,2,48,26.3
247860,76,48,30.7
248472,2,41,22.7
249084,77,48,30.7
249696,4,47,24.0
250308,79,64,31.0
