step_time,gneJ00_offset,gneJ9_offset,reward
612,35,32,-12.755813953488373
918,0,43,1.5066666666666666
1224,31,92,-1.05
1530,6,85,1.5798319327731092
1836,51,9,-4.141176470588236
2142,74,27,-2.1894736842105265
2448,74,42,-10.494736842105263
2754,73,35,22.408695652173915
3060,1,46,-3.9704433497536944
3366,71,31,11.067226890756302
3672,87,99,-7.705882352941177
3978,51,96,8.175925925925926
4284,41,71,-5.135338345864661
4590,6,78,1.1388888888888888
4896,22,45,6.0062893081761
5202,29,26,2.064516129032258
5508,63,61,-7.637426900584796
5814,41,67,0.754601226993865
6120,97,66,-4.471014492753623
6426,43,51,5.117647058823529
6732,65,16,-2.93048128342246
7038,97,44,3.026595744680851
7344,99,3,1.7551020408163265
7650,24,39,1.8707865168539326
7956,100,90,-1.3455882352941178
8262,41,79,3.224
8568,101,60,-7.465277777777778
8874,46,35,3.3544303797468356
9180,63,51,-3.3015873015873014
9486,64,60,-1.140495867768595
9792,75,41,2.2392638036809815
10098,83,3,0.1836734693877551
10404,20,15,0.7663043478260869
10710,13,77,7.950413223140496
11016,53,22,-2.2797619047619047
11322,100,101,-0.1297709923664122
11628,55,42,1.738255033557047
11934,75,40,3.5636363636363635
12240,9,11,-5.194244604316546
12546,63,44,0.4873417721518987
12852,7,71,-4.430939226519337
13158,94,61,8.346456692913385
13464,14,81,-1.8473684210526315
13770,88,92,2.142857142857143
14076,37,76,0.2421875
14382,66,4,-9.397849462365592
14688,98,53,4.5182926829268295
14994,90,21,0.5614035087719298
15300,96,36,-3.913265306122449
15606,76,82,7.265625
15912,60,7,-5.277777777777778
16218,2,27,-6.2631578947368425
16524,92,21,13.98165137614679
16830,53,84,-6.513513513513513
17136,36,63,0.9148936170212766
17442,27,94,10.617886178861788
17748,30,52,-7.019736842105263
18054,81,10,-2.632258064516129
18360,88,52,-2.618181818181818
18666,48,56,5.134615384615385
18972,97,65,-1.6518987341772151
19278,44,10,-0.33125
19584,19,25,9.786259541984732
19890,74,65,-0.32
20196,54,19,-3.58
20502,65,6,6.57258064516129
20808,0,95,0.7622950819672131
21114,6,36,-2.2976190476190474
21420,69,11,2.6546762589928057
21726,66,16,0.8840579710144928
22032,76,63,-2.893491124260355
22338,7,86,-1.8934010152284264
22644,28,38,7.295180722891566
