step_time,reward_gneJ00,gneJ00_offset,reward_gneJ9,gneJ9_offset
1020.0,-1661,61,-1063,95
2040.0,-1323,0,-1571,83
3060.0,-1040,30,-1604,25
4080.0,-1251,2,-1523,91
5100.0,-1203,44,-1232,92
6120.0,-1564,54,-1200,91
7140.0,-1269,24,-1398,29
8160.0,-1467,97,-1429,101
9180.0,-1792,73,-1454,62
10200.0,-1615,0,-1202,17
11220.0,-1680,61,-1314,69
12240.0,-1133,22,-1481,95
13260.0,-1183,52,-1435,51
14280.0,-1184,22,-1400,81
15300.0,-1349,46,-1242,73
16320.0,-1248,57,-1251,12
17340.0,-1211,29,-1320,86
18360.0,-1417,101,-1203,46
19380.0,-2143,72,-1206,89
20400.0,-1236,20,-1061,46
21420.0,-1293,59,-1543,31
22440.0,-1432,51,-1542,9
23460.0,-1690,33,-1088,52
24480.0,-922,38,-1344,99
25500.0,-1124,46,-1436,47
26520.0,-1396,30,-1361,46
27540.0,-1091,27,-1615,17
28560.0,-1693,64,-1080,100
29580.0,-1422,69,-1620,45
30600.0,-1363,21,-1243,38
31620.0,-1310,23,-1168,44
32640.0,-1740,77,-1130,16
33660.0,-1407,79,-1448,49
34680.0,-1112,31,-1437,27
35700.0,-1179,4,-1416,67
36720.0,-1634,63,-1128,95
37740.0,-1559,86,-1572,66
38760.0,-1447,3,-1345,8
39780.0,-1111,46,-1453,43
40800.0,-988,24,-1353,81
41820.0,-960,45,-1463,7
42840.0,-869,31,-1621,12
43860.0,-1367,82,-1395,40
44880.0,-1487,97,-1538,98
45900.0,-1689,77,-1298,22
46920.0,-1389,2,-1408,98
47940.0,-1893,79,-1270,88
48960.0,-1358,20,-1251,40
49980.0,-1347,39,-1002,65
51000.0,-1650,100,-1165,36
52020.0,-1010,41,-1559,11
53040.0,-1491,72,-1651,59
54060.0,-1565,9,-1317,24
55080.0,-996,16,-1511,84
56100.0,-1497,64,-1305,70
57120.0,-1428,47,-1207,54
58140.0,-1298,23,-1154,66
59160.0,-1270,44,-1468,44
60180.0,-1406,51,-1183,73
61200.0,-1354,39,-1439,33
62220.0,-1103,4,-1537,77
63240.0,-1688,75,-1217,88
64260.0,-1489,83,-1483,53
65280.0,-1196,4,-1635,94
66300.0,-1397,88,-1523,83
67320.0,-1015,25,-1279,80
68340.0,-1154,57,-1728,39
69360.0,-1474,44,-1199,59
70380.0,-1446,64,-1762,56
71400.0,-1545,16,-1428,30
72420.0,-1070,42,-1189,89
73440.0,-1034,38,-1114,94
74460.0,-1359,57,-1323,66
75480.0,-1659,75,-1587,65
76500.0,-1289,92,-1498,63
77520.0,-1299,43,-1142,81
78540.0,-1274,17,-1370,61
79560.0,-1521,56,-1117,82
80580.0,-1452,33,-1165,70
81600.0,-1520,101,-1300,7
82620.0,-1342,15,-1313,36
83640.0,-1368,67,-1611,47
84660.0,-1035,27,-1747,97
85680.0,-1293,85,-1460,52
86700.0,-1482,3,-1472,10
87720.0,-1310,42,-1200,75
88740.0,-1418,100,-1375,54
89760.0,-1993,77,-1270,83
90780.0,-1351,43,-1340,94
91800.0,-1355,16,-1198,53
92820.0,-1349,20,-1401,49
93840.0,-1430,71,-1542,58
94860.0,-1362,19,-1325,29
95880.0,-1121,54,-1282,18
96900.0,-1490,84,-1597,66
97920.0,-1358,58,-1698,42
98940.0,-1106,23,-1596,17
99960.0,-1326,47,-1133,61
100980.0,-1335,4,-1276,64
102000.0,-1505,72,-1700,54
103020.0,-1470,82,-1653,57
104040.0,-1720,81,-1380,30
105060.0,-1480,1,-1428,2
106080.0,-1094,44,-1435,38
107100.0,-1857,73,-1141,3
108120.0,-1558,47,-1102,80
109140.0,-1300,43,-1514,41
110160.0,-1742,95,-1543,100
111180.0,-986,35,-1415,2
112200.0,-1255,59,-1453,18
113220.0,-1117,24,-1249,83
114240.0,-1507,3,-1363,14
115260.0,-987,47,-1532,19
116280.0,-1512,68,-1744,53
117300.0,-1049,16,-1550,7
118320.0,-925,29,-1439,89
119340.0,-1293,48,-1276,64
