step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
1020,100,58,0,80
1530,12,64,1,79
2040,76,84,-7,86
2550,90,95,2,84
3060,72,60,6,78
3570,86,25,5,73
4080,0,66,-1,74
4590,64,30,-4,78
5100,65,71,0,78
5610,70,32,6,72
6120,92,38,-2,74
6630,12,44,-3,77
7140,76,64,-4,81
7650,90,29,1,80
8160,4,70,0,80
8670,68,90,-5,85
9180,73,61,10,75
9690,87,26,1,74
10200,7,67,-1,75
10710,71,87,-10,85
11220,76,98,2,83
11730,81,69,5,78
12240,95,34,0,78
12750,9,75,-2,80
13260,73,15,3,77
13770,74,86,-4,81
14280,79,51,-2,83
14790,93,57,6,77
15300,5,63,-1,78
15810,69,83,-3,81
16320,83,54,6,75
16830,97,60,1,74
17340,9,66,-6,80
17850,73,86,-1,81
18360,78,97,-1,82
18870,83,68,4,78
19380,97,33,11,67
19890,17,74,-7,74
20400,100,94,-6,80
20910,82,59,7,73
21420,96,65,-3,76
21930,8,71,-2,78
22440,72,91,0,78
22950,77,62,1,77
23460,91,27,2,75
23970,5,68,-6,81
24480,69,88,-2,83
24990,74,59,7,76
25500,88,24,1,75
26010,2,65,-7,82
26520,66,85,3,79
27030,71,56,-1,80
27540,85,21,3,77
28050,101,38,3,74
28560,21,79,-1,75
29070,2,52,-6,81
29580,66,72,-1,82
30090,80,83,2,80
30600,62,48,-2,82
31110,76,13,5,77
31620,77,84,-11,88
32130,91,95,13,75
32640,73,60,-7,82
33150,87,25,6,76
33660,1,66,2,74
34170,65,30,-8,82
34680,66,92,2,80
35190,71,63,1,79
35700,85,28,4,75
36210,101,69,2,73
36720,21,75,-10,83
37230,85,48,12,71
37740,5,54,-8,79
38250,69,74,-1,80
38760,83,85,6,74
39270,65,50,-6,80
39780,79,15,1,79
40290,80,25,5,74
40800,96,66,0,74
41310,16,72,-5,79
41820,80,45,5,74
42330,0,51,-4,78
42840,64,71,-3,81
43350,78,82,6,75
43860,60,47,-13,88
44370,79,12,8,80
44880,63,83,-3,83
45390,77,54,7,76
45900,91,60,6,70
46410,3,66,-6,76
46920,67,86,-6,82
47430,72,57,4,78
47940,86,22,0,78
48450,0,84,-5,83
48960,64,48,3,80
49470,78,13,-4,84
