step_time,gneJ00_offset,gneJ9_offset,reward
612,100,41,5.738317757009346
918,28,36,2.4954128440366974
1224,31,33,-0.6785714285714286
1530,49,31,-1.719298245614035
1836,67,29,-4.896551724137931
2142,78,26,-3.4873949579831933
2448,101,25,-0.3416666666666667
2754,6,32,-3.0353535353535355
3060,17,30,11.060869565217391
3366,47,85,-5.987654320987654
3672,70,84,13.302752293577981
3978,93,82,2.6216216216216215
4284,96,80,0.6814159292035398
4590,99,79,0.18421052631578946
4896,0,4,-7.439153439153439
5202,70,3,2.880281690140845
5508,93,1,-8.555555555555555
5814,96,101,3.2054794520547945
6120,17,100,0.10884353741496598
6426,30,53,-3.051546391752577
6732,41,51,17.57943925233645
7038,44,48,2.3545454545454545
7344,45,46,2.705357142857143
7650,46,44,-2.8157894736842106
7956,48,41,-0.40186915887850466
8262,78,37,-7.824074074074074
8568,79,36,1.0
8874,82,35,1.3454545454545455
9180,84,34,-4.072072072072072
9486,85,33,-0.5178571428571429
9792,88,32,-1.4690265486725664
10098,99,30,-1.5130434782608695
10404,27,28,-2.6666666666666665
10710,29,26,1.3277310924369747
11016,52,24,-1.1570247933884297
11322,59,22,-4.097560975609756
11628,66,21,-3.088709677419355
11934,73,19,-3.4444444444444446
12240,75,17,-7.0546875
12546,77,16,-1.7906976744186047
12852,84,14,-2.7404580152671754
13158,91,13,0.3939393939393939
13464,98,11,-1.4776119402985075
13770,3,9,0.11029411764705882
14076,10,7,-2.2681159420289854
14382,17,5,-0.20714285714285716
14688,24,60,-6.6310160427807485
14994,27,58,37.06086956521739
15300,30,56,2.0
15606,33,54,4.224299065420561
15912,70,52,-5.509433962264151
16218,76,50,-0.3888888888888889
16524,91,49,0.11926605504587157
16830,94,47,0.018018018018018018
17136,97,45,-2.814159292035398
17442,98,44,6.153846153846154
17748,100,42,3.4150943396226414
18054,16,37,-2.9166666666666665
18360,17,34,0.7477477477477478
18666,18,89,-6.265822784810126
18972,21,42,4.1655629139072845
19278,39,41,10.278846153846153
19584,69,39,-2.0943396226415096
19890,10,1,-6.277777777777778
20196,13,101,0.6027397260273972
20502,16,99,-1.1081081081081081
20808,39,96,-2.9735099337748343
21114,31,94,8.887931034482758
21420,38,92,-9.451612903225806
21726,61,90,13.764150943396226
22032,64,88,1.0476190476190477
22338,67,86,2.196261682242991
22644,8,83,2.3727272727272726
22950,11,81,5.071428571428571
23256,14,80,-1.0973451327433628
23562,17,77,3.3706896551724137
23868,28,30,-2.920245398773006
24174,58,27,1.61864406779661
24480,88,25,-5.966666666666667
24786,95,24,-2.8181818181818183
25092,0,23,0.8688524590163934
25398,2,22,-0.6260162601626016
25704,9,21,0.016129032258064516
26010,16,19,-1.7222222222222223
26316,18,18,-3.0
26622,25,73,-4.097701149425287
26928,65,71,18.142857142857142
27234,68,70,1.849056603773585
27540,79,68,6.9523809523809526
27846,82,67,0.44339622641509435
28152,18,66,-0.056074766355140186
28458,48,19,-3.279220779220779
28764,50,15,-0.24615384615384617
29070,73,13,-6.007575757575758
29376,80,11,-0.39552238805970147
29682,87,8,-0.39416058394160586
29988,8,7,0.5579710144927537
30294,15,5,0.9857142857142858
30600,22,4,-2.3900709219858154
30906,92,3,-1.0567375886524824
31212,33,2,0.9370629370629371
31518,76,0,-8.344827586206897
31824,83,101,0.958904109589041
32130,86,99,-1.1081081081081081
32436,7,96,0.8609271523178808
32742,10,92,0.14838709677419354
33048,33,90,14.69811320754717
33354,36,88,3.6285714285714286
33660,39,85,2.0833333333333335
33966,62,83,2.6363636363636362
34272,65,81,-2.8839285714285716
34578,68,80,2.2035398230088497
34884,71,78,0.9739130434782609
35190,78,77,1.2844827586206897
35496,89,76,-2.1709401709401708
35802,96,75,1.3559322033898304
36108,24,74,1.0672268907563025
36414,35,72,-2.6859504132231407
36720,38,71,3.4
37026,41,69,-0.9626168224299065
37332,44,66,-0.32710280373831774
37638,74,64,1.4954128440366972
37944,90,62,-1.045045045045045
38250,93,61,-0.9107142857142857
38556,94,59,-0.16666666666666666
38862,3,57,-1.8793103448275863
39168,4,56,3.238095238095238
39474,7,53,-2.388888888888889
39780,18,49,3.1192660550458715
40086,29,2,-2.9935897435897436
40392,72,0,-5.731034482758621
40698,79,100,-2.9591836734693877
41004,92,99,-0.7432432432432432
41310,13,98,4.530201342281879
41616,20,96,-1.5165562913907285
41922,23,95,-1.111842105263158
42228,26,94,0.3202614379084967
42534,33,92,-5.393548387096774
