step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
1020,60,26,6,78
1530,85,53,3,75
2040,8,54,-7,82
2550,72,45,4,78
3060,97,46,4,74
3570,20,73,0,74
4080,30,5,-8,82
4590,31,30,-1,83
5100,5,13,5,78
5610,69,52,2,76
6120,5,53,-3,79
6630,69,44,5,74
7140,94,82,-4,78
7650,17,18,1,77
8160,81,1,1,76
8670,63,39,-2,78
9180,88,49,8,70
9690,11,76,-7,77
10200,21,8,-6,83
10710,85,47,10,73
11220,8,74,-1,74
11730,64,63,-9,83
12240,98,30,5,78
12750,72,57,1,77
13260,4,58,-1,78
13770,60,49,-2,80
14280,85,32,8,72
14790,8,59,-7,79
15300,72,50,4,75
15810,97,88,-6,81
16320,29,24,-4,85
16830,93,7,6,79
17340,67,45,0,79
17850,92,83,-3,82
18360,24,19,-1,83
18870,88,2,0,83
19380,70,40,5,78
19890,43,67,-12,90
20400,77,34,16,74
20910,0,61,-1,75
21420,56,20,-1,76
21930,81,47,-1,77
22440,4,74,-1,78
22950,60,6,2,76
23460,75,16,-5,81
23970,90,43,7,74
24480,13,70,-5,79
24990,23,2,-3,82
25500,87,27,3,79
26010,10,54,2,77
26520,20,45,-6,83
27030,96,12,-3,86
27540,9,50,8,78
28050,73,9,-4,82
28560,88,19,8,74
29070,1,57,-7,81
29580,65,16,4,77
30090,80,43,5,72
30600,3,70,-7,79
31110,59,29,10,69
31620,84,56,-5,74
32130,7,94,-7,81
32640,63,26,4,77
33150,88,53,2,75
33660,11,80,-4,79
34170,21,12,-6,85
34680,85,97,4,81
35190,17,33,2,79
35700,82,16,3,76
36210,97,26,-2,78
36720,20,64,-3,81
37230,30,55,5,76
37740,4,22,-3,79
38250,68,61,-4,83
38760,0,28,7,76
39270,64,19,-4,80
39780,89,46,5,75
40290,12,73,-9,84
40800,22,5,2,82
41310,86,30,4,78
41820,60,57,-9,87
42330,94,24,14,73
42840,68,62,-10,83
43350,0,29,9,74
43860,64,20,-7,81
44370,89,47,9,72
44880,12,74,-7,79
45390,22,6,-4,83
45900,86,75,8,75
46410,60,11,-1,76
46920,75,21,0,76
47430,90,48,2,74
47940,13,75,-4,78
48450,23,7,-2,80
48960,87,92,-5,85
49470,19,28,12,73
49980,83,97,-10,83
50490,57,33,9,74
51000,82,43,-1,75
51510,5,70,-7,82
52020,61,29,9,73
52530,86,90,-12,85
53040,18,26,12,73
53550,83,9,-6,79
54060,57,47,-8,87
54570,91,14,5,82
55080,65,52,2,80
55590,99,19,5,75
56100,73,57,-6,81
56610,5,58,2,79
57120,61,92,-7,86
57630,75,28,11,75
58140,100,55,-3,78
58650,74,82,-7,85
59160,6,49,2,83
59670,70,40,5,78
60180,95,67,1,77
60690,69,68,-2,79
61200,1,35,8,71
61710,65,26,-3,74
62220,90,53,-2,76
62730,13,80,-1,77
63240,23,12,-4,81
63750,87,97,-1,82
64260,61,33,4,78
64770,86,94,-3,81
65280,60,30,6,75
65790,85,57,3,72
66300,59,58,-11,83
66810,93,25,10,73
67320,67,63,-12,85
67830,101,30,7,78
68340,75,57,-3,81
68850,7,58,6,75
69360,63,49,-10,85
69870,91,32,10,75
70380,14,59,-3,78
70890,24,18,-1,79
71400,88,1,4,75
71910,70,39,0,75
72420,95,66,-5,80
72930,69,67,3,77
73440,1,34,-1,78
73950,65,25,6,72
74460,90,52,-3,75
74970,13,79,-3,78
75480,23,11,-2,80
75990,67,80,-7,87
76500,101,16,19,68
77010,63,54,-13,81
77520,97,21,9,72
78030,71,59,-8,80
78540,3,26,9,71
79050,67,44,-4,75
79560,92,45,-2,77
80070,15,72,0,77
80580,25,4,1,76
81090,89,29,2,74
81600,63,56,-10,84
82110,97,23,1,83
82620,71,61,9,74
83130,3,62,-6,80
83640,59,21,11,69
84150,84,48,-4,73
84660,89,75,-6,79
85170,21,76,0,79
85680,83,8,-2,81
86190,57,46,-6,87
86700,85,29,13,74
87210,92,56,1,73
87720,15,83,-7,80
88230,25,15,-2,82
88740,89,84,4,78
89250,21,20,-2,80
89760,85,3,2,78
90270,67,41,2,76
90780,92,68,2,74
91290,48,69,-12,86
91800,71,36,6,80
92310,96,97,0,80
92820,70,33,3,77
93330,95,60,3,74
93840,51,87,-10,84
94350,61,23,9,75
94860,86,50,3,72
95370,9,77,-7,79
95880,65,9,-1,80
