step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,99,38,23.7
1836,0,10,27.7
2448,7,10,26.7
3060,13,62,24.7
3672,15,60,24.3
4284,19,51,27.7
4896,20,47,24.3
5508,23,44,25.3
6120,27,30,26.0
6732,30,63,29.3
7344,34,53,26.7
7956,38,13,28.7
8568,44,13,30.3
9180,48,13,27.7
9792,52,13,26.7
10404,55,13,30.7
11016,55,13,32.3
11628,56,13,28.3
12240,59,13,27.3
12852,59,13,32.3
13464,60,13,28.7
14076,60,13,33.3
14688,60,13,32.0
15300,60,11,32.7
15912,60,11,32.3
16524,61,11,28.0
17136,61,11,29.7
17748,61,11,29.3
18360,62,11,26.7
18972,66,11,27.3
19584,69,11,25.3
20196,70,11,25.3
20808,72,9,27.0
21420,74,99,28.3
22032,74,36,32.0
22644,74,36,31.7
23256,74,33,28.0
23868,74,28,28.0
24480,74,28,29.7
25092,74,28,26.7
25704,74,28,30.3
26316,74,28,26.3
26928,74,28,27.0
27540,74,28,28.7
28152,74,28,27.7
28764,74,28,26.0
29376,74,28,27.0
29988,74,28,27.3
30600,74,28,27.7
31212,74,28,27.3
31824,74,28,31.3
32436,74,28,29.0
33048,74,26,31.3
33660,76,24,23.3
34272,79,19,26.3
34884,79,68,36.7
35496,79,18,32.0
36108,83,63,28.0
36720,85,21,25.0
37332,85,80,38.3
37944,87,38,23.0
38556,87,9,31.0
39168,90,73,27.3
39780,90,22,30.0
40392,90,79,35.7
41004,90,29,25.7
41616,90,86,33.7
42228,90,31,29.7
42840,90,93,34.0
43452,90,31,29.7
44064,90,93,33.7
44676,90,40,28.3
45288,90,15,31.7
45900,90,93,36.7
46512,90,49,29.3
47124,90,5,30.0
47736,92,80,27.3
48348,95,37,24.7
48960,95,94,31.0
49572,95,52,22.3
50184,95,21,23.3
50796,95,101,27.3
51408,95,63,22.7
52020,95,25,25.7
52632,95,100,30.3
53244,95,60,22.0
53856,95,17,25.7
54468,95,85,24.7
55080,95,45,20.3
55692,95,4,28.0
56304,96,70,21.0
56916,96,34,25.7
57528,100,100,30.0
58140,0,65,20.7
58752,1,59,23.0
59364,3,54,20.7
59976,3,49,20.3
60588,3,57,24.3
61200,3,50,19.7
61812,3,50,21.7
62424,3,50,25.0
63036,3,50,23.0
63648,3,50,25.3
64260,3,50,23.3
64872,3,50,23.7
65484,3,50,26.0
66096,3,50,25.7
66708,3,50,23.7
67320,3,50,22.3
67932,3,50,23.0
68544,3,54,22.0
69156,3,57,20.0
69768,3,57,25.0
70380,3,59,21.3
70992,3,64,20.7
71604,5,65,24.7
72216,8,86,22.7
72828,10,84,23.0
73440,10,82,24.0
74052,11,76,24.0
74664,12,72,23.7
75276,15,69,24.3
75888,18,67,25.3
76500,20,66,24.7
77112,20,66,26.3
77724,20,66,22.7
78336,20,66,24.3
78948,20,66,24.3
79560,20,66,26.0
80172,20,63,26.0
80784,20,57,26.0
81396,21,53,29.0
82008,21,53,24.3
82620,22,52,26.7
83232,22,50,27.3
83844,22,46,23.7
84456,22,40,24.3
85068,22,36,24.3
85680,22,23,27.7
86292,22,56,29.7
86904,22,53,27.3
87516,22,53,27.0
88128,22,50,25.7
88740,22,46,29.0
89352,22,43,26.2
89964,22,38,26.3
90576,22,31,26.7
91188,22,82,25.7
91800,22,76,28.3
92412,22,72,27.0
93024,22,70,26.3
93636,22,67,28.3
94248,22,63,26.3
94860,22,58,28.0
95472,22,57,26.7
96084,22,55,25.3
96696,24,51,25.0
97308,27,47,27.0
97920,29,42,30.0
98532,30,26,30.3
99144,31,80,28.3
99756,32,71,27.3
100368,32,63,29.0
100980,37,56,26.7
101592,40,47,30.0
102204,41,96,24.7
102816,43,66,30.0
103428,50,57,29.0
104040,51,9,30.7
104652,53,6,27.7
105264,53,2,29.7
105876,53,2,32.0
106488,53,0,27.7
107100,54,101,27.7
107712,59,44,31.3
108324,64,18,25.3
108936,68,18,27.0
109548,71,18,25.7
110160,73,16,25.7
110772,73,12,26.0
111384,74,8,26.7
111996,76,2,29.7
112608,77,61,26.0
113220,79,35,24.3
113832,81,34,25.7
114444,82,34,25.3
115056,82,34,24.0
115668,84,34,23.7
116280,86,32,23.0
116892,86,12,31.7
117504,87,74,30.0
118116,87,34,28.0
118728,87,0,35.0
119340,87,56,27.3
119952,87,35,25.3
120564,87,92,36.0
121176,87,38,26.0
121788,87,93,32.7
122400,87,36,26.7
123012,87,87,35.0
123624,91,36,22.3
