step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,36,77,27.7
1836,44,87,25.7
2448,8,74,28.0
3060,14,83,25.3
3672,23,4,25.3
4284,21,60,29.0
4896,26,81,25.7
5508,38,14,22.0
6120,25,42,25.0
6732,29,69,31.7
7344,33,96,25.7
7956,39,29,22.7
8568,3,86,26.0
9180,11,6,25.0
9792,39,31,23.0
10404,6,88,27.0
11016,12,18,25.7
11628,13,31,31.7
12240,16,34,27.0
12852,18,37,30.0
13464,19,42,31.3
14076,21,46,28.0
14688,21,52,35.7
15300,21,61,34.0
15912,23,78,27.3
16524,29,3,25.0
17136,20,21,26.0
17748,22,56,29.7
18360,26,70,27.0
18972,31,90,26.7
19584,33,11,23.0
20196,25,21,23.3
20808,28,55,28.3
21420,29,67,27.7
22032,30,80,24.7
22644,34,95,23.7
23256,36,9,22.0
23868,36,17,22.0
24480,90,52,30.3
25092,22,35,27.3
25704,23,62,29.3
26316,28,71,28.3
26928,31,82,27.7
27540,31,97,24.7
28152,31,15,22.0
28764,39,37,20.7
29376,0,91,28.3
29988,0,18,37.3
30600,19,19,25.7
31212,19,49,36.7
31824,19,55,32.3
32436,25,61,29.3
33048,25,65,33.0
33660,27,72,29.3
34272,27,82,28.7
34884,34,93,25.7
35496,35,11,23.0
36108,28,21,21.7
36720,28,51,34.0
37332,28,59,32.7
37944,28,60,32.0
38556,28,63,35.3
39168,28,74,32.3
39780,28,89,32.7
40392,30,9,25.0
41004,26,29,27.0
41616,26,57,32.7
42228,27,67,30.2
42840,29,78,28.7
43452,34,86,25.7
44064,35,97,26.7
44676,35,7,23.0
45288,30,14,21.7
45900,44,42,23.7
46512,13,2,23.0
47124,11,85,29.0
47736,19,2,23.7
48348,18,74,30.0
48960,35,93,22.3
49572,35,12,22.3
50184,23,18,23.0
50796,28,51,28.7
51408,28,56,37.3
52020,28,62,32.3
52632,28,70,32.7
53244,28,81,32.7
53856,32,97,24.0
54468,32,16,21.7
55080,43,42,22.0
55692,7,100,26.3
56304,7,27,35.3
56916,17,27,30.0
57528,17,32,33.3
58140,17,34,34.0
58752,17,34,33.7
59364,17,34,34.7
59976,17,34,34.3
60588,17,34,34.0
61200,17,34,33.3
61812,20,37,28.0
62424,23,49,26.7
63036,28,56,28.0
63648,31,65,28.7
64260,34,77,26.7
64872,40,95,25.0
65484,19,92,26.3
66096,29,12,21.0
66708,45,41,21.0
67320,21,12,25.0
67932,29,49,27.3
68544,34,64,30.7
69156,39,71,28.3
69768,21,16,25.3
70380,28,47,27.7
70992,37,64,29.7
71604,21,97,23.3
72216,31,27,22.0
72828,40,58,25.0
73440,15,97,25.7
74052,25,39,26.3
74664,31,61,28.3
75276,32,73,27.0
75888,35,92,24.7
76500,38,17,22.3
77112,92,50,28.7
77724,35,38,23.7
78336,42,68,28.3
78948,15,18,26.3
79560,19,31,27.7
80172,23,43,25.7
80784,27,54,29.0
81396,30,59,28.0
82008,30,63,33.0
82620,30,72,33.7
83232,32,81,25.7
83844,34,95,24.3
84456,35,8,22.0
85068,35,9,22.3
85680,34,9,20.3
86292,32,9,22.7
86904,32,15,21.0
87516,59,32,27.7
88128,98,1,30.0
88740,98,53,34.0
89352,43,38,24.3
89964,12,89,25.7
90576,17,7,25.3
91188,1,69,30.7
91800,3,74,28.3
92412,5,84,27.3
93024,7,7,25.0
93636,8,27,30.3
94248,19,29,28.3
94860,22,50,28.3
95472,22,62,32.0
96084,27,79,28.0
96696,35,97,23.0
97308,35,13,23.0
97920,23,24,26.7
98532,25,61,30.3
99144,26,79,26.0
99756,33,3,23.7
100368,21,24,26.3
100980,23,60,30.3
101592,23,80,31.0
102204,34,6,22.0
102816,27,23,23.7
103428,33,57,25.3
104040,36,74,26.7
104652,42,96,24.0
105264,14,95,23.3
105876,23,30,26.0
106488,24,57,27.3
107100,24,68,33.3
107712,29,85,23.7
108324,34,4,21.7
108936,24,14,22.3
109548,28,43,26.3
110160,32,54,26.0
110772,38,60,27.7
111384,16,82,28.7
111996,29,98,23.3
112608,33,11,22.7
113220,33,13,20.7
113832,7,20,28.3
114444,23,20,29.3
115056,32,42,21.8
115668,40,57,24.0
116280,23,83,27.3
116892,40,1,23.3
117504,26,13,22.7
118116,40,44,24.7
118728,18,90,26.0
119340,28,13,21.3
119952,45,39,20.0
120564,20,99,24.0
121176,24,20,23.3
121788,29,48,30.3
122400,31,56,26.0
123012,31,60,28.0
123624,31,64,28.3
124236,31,72,26.3
124848,31,85,25.3
125460,31,100,22.7
126072,32,15,20.0
126684,59,32,28.7
127296,98,100,33.0
127908,48,34,24.3
128520,17,92,25.0
129132,36,7,22.0
129744,27,11,24.7
130356,89,27,29.7
130968,3,33,29.3
131580,16,33,31.3
132192,18,33,31.3
132804,18,38,34.7
133416,20,40,25.7
134028,20,44,32.7
134640,21,45,28.3
135252,26,47,24.0
135864,33,55,26.7
136476,37,65,30.0
137088,42,76,24.7
137700,23,22,24.7
138312,29,61,30.3
138924,30,74,27.0
139536,33,91,26.3
140148,36,8,26.3
140760,30,21,23.0
141372,39,53,26.3
141984,18,89,26.3
142596,31,8,23.3
143208,31,21,23.3
143820,44,55,22.7
144432,24,100,25.7
145044,33,26,22.7
145656,47,64,24.3
146268,18,4,25.3
146880,18,78,28.3
147492,35,96,24.0
148104,39,13,18.5
148716,38,27,21.3
149328,92,74,29.7
149940,16,38,30.3
150552,21,40,27.3
151164,26,47,25.7
151776,29,58,26.7
152388,33,67,25.3
153000,37,76,24.3
153612,39,88,25.7
154224,42,101,21.3
154836,47,16,22.3
155448,35,22,22.0
156060,44,54,22.0
156672,24,91,23.7
157284,31,3,24.3
157896,13,33,29.7
158508,16,33,31.3
159120,17,33,32.7
159732,18,33,32.7
160344,22,33,26.0
160956,25,49,29.0
161568,29,52,29.3
162180,31,59,26.7
162792,31,65,28.3
163404,31,70,27.3
164016,33,71,26.7
164628,35,72,25.7
165240,39,76,26.3
165852,45,83,26.7
166464,48,84,23.7
167076,48,86,24.3
167688,49,89,24.7
168300,49,94,28.7
168912,49,99,27.0
169524,49,3,25.7
170136,88,29,29.0
170748,99,40,32.3
171360,35,29,22.3
171972,40,61,25.7
172584,40,71,29.0
173196,40,82,26.3
173808,40,90,23.0
174420,40,97,24.3
175032,40,3,24.7
175644,10,17,26.7
176256,10,21,31.0
176868,11,25,28.7
177480,12,25,31.7
178092,12,25,32.3
178704,12,25,36.0
179316,12,25,35.3
179928,12,25,33.3
180540,12,25,32.0
181152,12,25,33.7
181764,12,26,33.3
182376,13,28,29.7
182988,14,29,27.0
183600,18,31,29.0
184212,24,41,27.3
184824,34,56,27.7
185436,42,64,27.7
186048,73,79,28.3
186660,18,36,27.7
187272,24,40,27.3
187884,27,57,27.3
188496,33,61,26.0
189108,38,71,27.3
189720,42,83,26.0
190332,46,94,27.0
190944,54,36,23.0
191556,13,13,25.2
192168,17,31,28.3
192780,23,35,28.3
193392,31,55,29.3
194004,40,66,26.3
194616,50,76,27.7
195228,22,11,23.3
195840,35,44,22.0
196452,46,60,23.7
197064,27,86,28.0
197676,42,1,23.0
198288,16,14,25.3
198900,22,35,25.7
199512,28,55,29.7
200124,38,64,24.7
200736,47,73,25.7
201348,35,5,22.3
201960,28,14,21.0
202572,40,43,22.0
203184,51,66,23.3
203796,21,101,23.0
204408,36,18,21.0
205020,60,36,24.3
205632,100,97,27.7
206244,14,13,25.7
206856,16,25,28.7
207468,17,34,28.3
208080,17,35,33.7
208692,18,40,29.7
209304,18,46,32.0
209916,18,53,33.0
210528,26,63,30.0
211140,27,77,26.7
211752,33,98,25.3
212364,38,13,23.7
212976,27,19,23.0
213588,28,53,29.7
214200,28,62,31.0
214812,28,72,33.3
215424,28,85,31.3
216036,31,3,24.0
216648,19,20,26.3
217260,19,46,33.7
217872,19,49,33.3
218484,19,53,32.0
219096,19,58,31.7
219708,23,62,29.7
220320,24,71,27.7
220932,29,85,24.0
221544,33,101,22.3
222156,36,14,22.3
222768,98,27,30.0
223380,12,35,28.3
223992,21,35,28.7
224604,28,46,26.7
225216,32,59,26.0
225828,32,73,27.7
226440,32,93,23.7
227052,32,11,22.3
227664,17,20,27.0
228276,17,32,35.3
228888,21,35,27.0
229500,24,47,26.7
230112,27,56,27.7
230724,29,64,27.0
231336,29,74,32.7
231948,29,87,30.3
232560,32,2,21.7
233172,21,19,27.3
233784,23,50,25.3
234396,24,60,29.0
235008,25,70,26.7
235620,25,85,29.7
236232,26,5,21.0
236844,22,31,26.0
237456,22,57,30.0
238068,26,67,26.8
238680,29,83,25.7
239292,32,4,21.8
239904,20,26,24.3
240516,20,55,33.3
241128,21,67,30.2
241740,30,89,25.3
242352,33,17,20.7
242964,38,54,24.3
243576,38,73,27.0
244188,38,94,24.3
244800,38,16,18.7
245412,61,51,27.0
246024,24,33,25.0
246636,25,68,28.0
247248,28,92,25.7
247860,35,20,22.7
248472,44,61,23.7
249084,67,89,26.0
249696,1,49,26.3
250308,3,49,32.3
250920,5,51,29.0
251532,9,52,28.3
252144,13,55,27.7
252756,23,55,31.0
253368,28,60,30.0
253980,30,66,27.3
254592,31,74,27.7
255204,31,83,26.7
255816,34,98,28.0
256428,36,20,20.0
257040,40,60,23.3
257652,40,75,25.7
258264,40,93,24.0
258876,40,12,23.3
259488,29,16,23.3
260100,30,54,28.0
260712,31,66,29.0
261324,31,82,25.3
261936,35,0,22.7
262548,18,16,23.3
263160,24,41,27.0
263772,28,58,30.0
264384,29,68,28.3
264996,31,84,25.0
265608,35,2,26.3
266220,22,17,22.3
266832,26,53,28.3
267444,33,68,27.3
268056,38,91,27.0
268668,40,17,21.7
269280,89,66,29.3
269892,10,38,27.3
270504,23,43,25.3
271116,23,57,35.7
271728,23,68,37.7
272340,26,86,24.7
272952,33,8,23.3
273564,28,20,25.0
274176,29,58,29.0
274788,31,70,25.7
275400,32,83,26.0
276012,38,0,24.0
276624,21,10,23.3
277236,26,47,26.3
277848,32,61,30.2
278460,39,70,27.0
279072,44,81,25.0
279684,54,95,25.7
280296,11,88,25.0
280908,22,10,24.0
281520,33,51,27.7
282132,37,69,28.3
282744,40,82,26.0
283356,47,99,26.7
283968,56,11,21.0
284580,29,30,21.3
285192,37,68,26.7
285804,44,86,25.7
286416,50,6,21.7
287028,21,28,26.0
287640,28,64,29.3
288252,32,84,26.5
288864,37,7,22.0
289476,22,20,24.7
290088,24,64,28.7
290700,31,81,25.3
291312,37,0,26.7
291924,15,18,27.3
292536,22,42,30.7
293148,28,59,28.0
293760,33,75,26.0
294372,35,99,21.7
294984,35,19,22.0
295596,44,51,26.0
296208,6,98,25.3
296820,6,23,32.7
297432,21,23,29.0
298044,21,46,37.7
298656,21,49,34.3
299268,21,53,30.3
299880,21,60,32.7
300492,25,72,28.3
301104,26,95,22.7
301716,31,26,22.3
302328,31,64,30.7
302940,31,81,24.0
303552,33,1,26.0
304164,17,16,25.3
304776,19,33,28.0
305388,19,42,32.0
306000,20,45,27.0
306612,20,48,31.7
307224,20,56,33.3
307836,24,64,30.3
308448,24,76,34.7
309060,31,91,26.3
309672,37,12,21.7
310284,27,21,22.0
310896,32,54,27.2
311508,36,67,27.2
312120,42,79,23.0
312732,48,97,26.3
313344,52,12,24.0
