step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,2,32,23.7
1836,91,25,28.7
2448,4,39,27.0
3060,92,38,26.0
3672,4,34,26.0
4284,88,34,25.0
4896,92,34,26.0
5508,94,34,29.0
6120,96,25,27.0
6732,4,46,24.7
7344,86,46,26.7
7956,0,39,23.3
8568,87,39,25.0
9180,0,30,23.3
9792,86,25,28.3
10404,100,28,27.0
11016,101,30,26.7
11628,101,36,25.0
12240,101,6,23.3
12852,101,37,24.0
13464,101,21,24.0
14076,101,45,23.0
14688,5,38,23.3
15300,89,38,25.7
15912,4,35,25.0
16524,90,34,24.3
17136,96,33,27.3
17748,96,79,22.3
18360,7,27,26.2
18972,90,27,29.0
19584,95,28,27.7
20196,99,29,27.7
20808,1,30,28.3
21420,89,29,30.3
22032,93,36,24.0
22644,95,28,26.3
23256,100,29,27.0
23868,1,30,23.3
24480,88,27,24.3
25092,90,28,28.3
25704,92,28,28.7
26316,94,28,23.7
26928,95,28,28.7
27540,96,28,28.0
28152,98,28,27.3
28764,99,28,26.7
29376,101,28,25.7
29988,4,29,25.7
30600,90,29,26.3
31212,96,31,25.3
31824,99,33,27.0
32436,3,36,25.0
33048,90,36,24.3
33660,95,14,25.0
34272,0,36,27.0
34884,88,36,24.2
35496,95,30,27.3
36108,98,31,27.3
36720,98,31,28.0
37332,0,36,25.7
37944,88,36,26.0
38556,97,32,26.7
39168,0,39,28.7
39780,88,39,26.0
40392,4,39,24.3
41004,87,39,26.3
41616,5,39,25.3
42228,85,39,27.7
42840,5,32,22.7
43452,91,28,28.0
44064,6,37,27.3
44676,87,35,25.7
45288,92,31,26.3
45900,94,44,28.3
46512,3,32,29.7
47124,87,28,27.0
47736,95,30,28.3
48348,97,34,28.7
48960,99,64,24.7
49572,6,33,25.0
50184,92,33,26.7
50796,99,90,20.0
51408,7,46,22.3
52020,90,40,28.0
52632,11,34,27.0
53244,94,29,27.7
53856,101,31,26.0
54468,2,35,26.7
55080,83,33,28.3
55692,91,33,24.7
56304,93,12,26.3
56916,99,49,25.3
57528,2,45,26.0
58140,87,45,24.0
58752,4,34,29.7
59364,91,34,24.7
59976,98,8,21.3
60588,3,45,25.3
61200,88,45,26.2
61812,3,32,25.0
62424,87,29,26.7
63036,91,38,27.7
63648,1,32,25.0
64260,86,31,27.3
64872,95,85,21.7
65484,3,40,24.0
66096,86,40,24.7
66708,5,38,26.7
67320,86,38,26.0
67932,2,35,27.0
68544,83,35,26.3
69156,3,29,25.7
69768,90,25,30.0
70380,3,37,23.3
70992,87,35,25.3
71604,4,30,23.7
72216,90,27,27.3
72828,101,34,26.3
73440,3,87,23.0
74052,92,13,24.3
74664,10,40,23.0
75276,88,40,25.8
75888,5,35,24.0
76500,94,35,27.0
77112,4,35,27.3
77724,92,35,25.3
78336,4,35,23.0
78948,94,35,27.0
79560,101,35,26.3
80172,2,98,21.3
80784,86,31,29.0
81396,90,6,24.3
82008,97,34,27.7
82620,97,87,21.7
83232,3,36,22.3
83844,83,31,28.3
84456,87,12,24.3
85068,95,29,28.3
85680,95,30,27.0
86292,95,35,27.0
86904,95,19,26.0
87516,1,37,25.3
88128,90,35,25.0
88740,94,31,24.0
89352,94,56,26.3
89964,95,22,28.0
90576,2,27,25.0
91188,86,20,28.3
91800,5,31,24.7
92412,85,29,25.0
93024,93,73,22.7
93636,2,21,28.3
94248,2,38,27.0
94860,82,38,27.0
95472,3,26,26.3
96084,83,25,28.7
96696,87,32,26.0
97308,87,19,25.7
97920,100,35,22.7
98532,100,6,21.0
99144,2,28,24.7
99756,87,26,31.0
100368,96,35,26.0
100980,96,21,25.3
101592,3,41,24.7
102204,85,37,27.7
102816,4,27,22.5
103428,91,27,27.0
104040,6,49,23.3
104652,84,46,25.7
105264,7,40,24.0
105876,86,40,27.3
106488,2,38,25.3
107100,84,38,28.7
107712,2,34,25.0
108324,81,34,28.3
108936,99,31,26.0
109548,99,41,26.0
110160,99,41,24.0
110772,99,41,26.0
111384,99,41,24.7
111996,1,41,23.0
112608,81,41,29.0
113220,4,34,27.0
113832,87,34,29.0
114444,89,29,26.0
115056,89,37,24.7
115668,0,30,27.0
116280,83,26,27.7
116892,89,31,29.7
117504,89,87,19.7
118116,99,32,26.3
118728,99,51,24.0
119340,4,38,24.0
119952,89,38,26.0
120564,6,34,21.3
121176,93,30,28.0
121788,98,63,24.0
