step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
141780,93,66,-4,85
142290,30,67,-1,86
142800,94,58,7,79
143310,31,78,-1,80
143820,5,69,8,72
144330,25,60,-2,74
144840,101,51,-3,77
145350,29,38,-7,84
145860,81,51,6,78
146370,9,71,1,77
146880,29,62,2,75
147390,3,53,2,73
147900,6,44,-3,76
148410,70,35,-5,81
148920,93,62,-2,83
149430,30,82,9,74
149940,33,73,1,73
150450,15,64,-8,81
150960,79,55,-7,88
151470,16,56,15,73
151980,80,47,-14,87
152490,28,74,10,77
153000,2,65,0,77
153510,5,56,-3,80
154020,69,47,4,76
154530,6,48,-5,81
155040,70,39,1,80
155550,80,59,-7,87
156060,17,60,10,77
156570,20,51,-2,79
157080,84,20,-3,82
157590,101,91,2,80
158100,51,0,-1,81
158610,27,19,0,81
159120,66,30,0,81
159630,89,57,1,80
160140,26,77,10,70
160650,29,68,-2,72
161160,11,59,2,70
161670,75,50,-12,82
162180,12,51,3,79
162690,76,42,-8,87
163200,4,69,13,74
163710,24,60,-2,76
164220,100,51,-1,77
164730,28,40,-4,81
165240,80,51,-2,83
165750,17,52,7,76
166260,81,43,-3,79
166770,9,70,4,75
167280,29,61,-1,76
167790,81,52,-4,80
168300,18,79,4,76
168810,21,70,-2,78
169320,62,61,1,77
169830,44,72,-1,78
170340,26,63,1,77
170850,0,83,-1,78
171360,20,23,-2,80
171870,72,17,-1,81
172380,48,88,1,80
172890,30,79,2,78
173400,12,77,1,77
173910,78,68,-7,84
174420,101,79,11,73
174930,24,80,1,72
175440,27,71,-3,75
175950,30,62,0,75
176460,82,53,-4,79
176970,19,54,5,74
177480,83,45,-11,85
177990,11,72,12,73
178500,77,63,-13,86
179010,14,74,14,72
179520,80,65,-16,88
180030,3,76,13,75
180540,23,67,2,73
181050,87,58,-6,79
181560,24,59,0,79
182070,100,50,4,75
182580,28,39,-3,78
183090,10,52,1,77
183600,74,43,-8,85
184110,97,70,9,76
184620,20,71,5,71
185130,84,62,-14,85
185640,21,63,8,77
186150,85,54,-8,85
186660,13,81,10,75
187170,79,72,-14,89
187680,29,83,21,68
188190,11,74,-6,74
188700,77,65,-9,83
189210,0,66,10,73
189720,20,57,-2,75
190230,52,48,0,75
190740,34,59,-1,76
191250,16,50,0,76
191760,80,41,-6,82
192270,87,68,-2,84
192780,10,69,3,81
193290,74,60,-2,83
193800,11,71,6,77
194310,77,62,-8,85
194820,14,65,14,71
195330,78,56,-11,82
195840,15,57,7,75
196350,79,48,-5,80
196860,0,49,4,76
197370,64,40,-4,80
197880,87,43,-2,82
198390,94,32,-4,86
198900,17,21,6,80
199410,69,60,-3,83
199920,51,71,3,80
200430,33,62,0,80
200940,85,53,5,75
201450,22,54,-1,76
201960,98,23,-7,83
202470,13,12,1,82
202980,52,51,8,74
203490,34,52,-4,78
204000,86,53,-1,79
204510,23,54,1,78
205020,87,23,3,75
205530,63,12,-3,78
206040,39,83,8,70
206550,21,74,-5,75
207060,85,65,-2,77
207570,8,66,2,75
208080,11,57,0,75
208590,75,48,-4,79
209100,12,49,-4,83
209610,76,18,3,80
210120,52,89,-1,81
210630,34,80,5,76
211140,16,71,0,76
211650,80,62,-9,85
212160,17,63,8,77
212670,81,54,-9,86
213180,18,57,15,71
213690,82,97,-12,83
214200,64,16,-1,84
214710,40,87,11,73
215220,22,78,1,72
215730,86,69,-12,84
216240,9,70,10,74
216750,75,61,-15,89
217260,12,62,9,80
217770,76,53,-7,87
218280,13,54,10,77
218790,77,45,-3,80
219300,100,48,6,74
219810,48,37,-10,84
220320,30,48,4,80
220830,82,49,4,76
221340,3,50,-3,79
221850,67,41,3,76
222360,90,44,-12,88
222870,13,33,7,81
223380,77,46,7,74
223890,100,47,-5,79
224400,21,36,-4,83
224910,73,75,0,83
225420,55,88,-4,87
225930,37,79,8,79
226440,19,70,-3,82
226950,83,61,7,75
227460,20,62,-6,81
227970,84,53,-1,82
228480,21,54,4,78
228990,85,23,-6,84
229500,8,94,7,77
230010,28,34,-1,78
230520,10,73,1,77
231030,76,64,-4,81
231540,99,65,14,67
232050,20,54,-11,78
232560,84,23,1,77
233070,60,12,-8,85
233580,36,31,5,80
234090,18,70,11,69
234600,82,61,-16,85
235110,5,62,8,77
235620,6,53,0,77
236130,70,44,-9,86
236640,93,47,3,83
237150,16,36,2,81
237660,80,100,-3,84
238170,62,91,2,82
238680,44,82,0,82
239190,26,73,10,72
239700,8,64,-5,77
240210,72,55,-5,82
240720,9,56,6,76
241230,73,47,-9,85
241740,10,50,8,77
242250,74,41,-8,85
242760,11,54,9,76
243270,75,45,-10,86
243780,98,48,11,75
244290,21,37,-4,79
244800,73,50,-6,85
245310,10,51,12,73
245820,74,42,-2,75
246330,97,31,-9,84
246840,20,20,0,84
247350,39,59,5,79
247860,21,60,-1,80
248370,85,29,-9,89
248880,100,18,10,79
249390,76,28,-5,84
249900,101,17,6,78
250410,77,27,-8,86
250920,0,98,0,86
251430,20,38,8,78
251940,72,0,-3,81
252450,48,19,0,81
252960,55,38,-6,87
253470,94,57,11,76
253980,15,58,3,73
254490,79,49,-10,83
255000,0,50,8,75
255510,64,41,-7,82
256020,87,60,3,79
256530,24,61,6,73
257040,100,52,-4,77
257550,21,41,-1,78
258060,85,54,-6,84
258570,22,55,5,79
259080,86,46,-3,82
259590,7,47,3,79
260100,71,38,0,79
260610,94,51,-4,83
261120,17,40,0,83
261630,81,53,3,80
262140,18,54,4,76
262650,82,45,-4,80
263160,3,46,5,75
263670,67,37,-11,86
264180,90,56,7,79
264690,27,57,5,74
265200,9,48,-4,78
265710,73,39,-8,86
266220,17,58,12,74
266730,81,49,-13,87
267240,2,68,9,78
267750,22,59,3,75
268260,47,50,-9,84
268770,29,63,4,80
269280,54,54,2,78
269790,36,67,2,76
270300,18,58,0,76
270810,82,49,-6,82
271320,3,50,4,78
271830,67,19,0,78
272340,43,90,2,76
272850,25,81,-1,77
273360,92,72,-9,86
273870,15,73,15,71
274380,79,64,-13,84
274890,2,65,10,74
275400,22,89,-2,76
275910,89,80,-11,87
276420,10,81,8,79
276930,30,72,-3,82
277440,12,63,5,77
277950,76,54,-4,81
278460,99,55,8,73
278970,20,44,-5,78
279480,96,57,2,76
279990,17,58,-1,77
280500,81,49,-3,80
281010,2,50,4,76
281520,66,41,-3,79
282030,13,60,5,74
282540,77,51,-9,83
283050,14,70,5,78
283560,81,61,2,76
284070,4,62,2,74
284580,24,53,-5,79
285090,49,54,5,74
285600,31,67,-2,76
286110,13,58,-1,77
286620,80,49,-10,87
287130,1,50,7,80
287640,65,41,-3,83
288150,88,60,6,77
288660,9,61,1,76
289170,76,52,-4,80
289680,13,53,6,74
290190,80,44,-10,84
290700,1,57,12,72
291210,2,48,-7,79
291720,66,57,-3,82
292230,48,96,0,82
292740,30,87,11,71
293250,12,78,-3,74
293760,32,69,-5,79
294270,14,60,4,75
294780,78,51,-4,79
295290,101,52,8,71
295800,22,41,-16,87
296310,74,54,-3,90
296820,99,73,17,73
297330,22,74,-1,74
297840,89,65,-13,87
298350,12,66,8,79
298860,79,57,0,79
299370,2,58,4,75
299880,3,49,-5,80
300390,67,40,-2,82
300900,20,53,2,80
301410,84,74,-2,82
301920,7,75,6,76
302430,27,66,1,75
302940,9,57,2,73
303450,73,48,-10,83
303960,96,67,1,82
304470,19,68,6,76
304980,83,59,-3,79
305490,6,60,2,77
306000,31,51,0,77
306510,13,52,0,77
307020,80,43,-3,80
307530,1,56,4,76
308040,2,47,-4,80
308550,3,38,2,78
309060,67,0,-3,81
309570,43,19,6,75
310080,25,38,-11,86
310590,77,77,3,83
311100,59,90,3,80
311610,41,81,1,79
312120,23,72,2,77
312630,90,63,1,76
313140,13,64,-3,79
313650,80,55,-5,84
314160,17,56,5,79
314670,84,47,-5,84
315180,5,74,7,77
315690,6,65,2,75
316200,87,56,-5,80
316710,10,57,2,78
317220,77,48,-2,80
317730,100,49,-1,81
318240,21,38,2,79
318750,73,51,-4,83
319260,98,70,11,72
319770,21,71,-2,74
320280,88,62,-10,84
320790,11,63,7,77
321300,78,54,-5,82
321810,1,55,7,75
322320,2,46,-1,76
322830,66,37,-8,84
323340,89,56,7,77
323850,12,57,-1,78
324360,79,48,-9,87
324870,0,67,19,68
325380,20,58,-9,77
325890,87,49,0,77
326400,8,38,-10,87
326910,9,0,10,77
327420,48,39,5,72
327930,30,40,-4,76
328440,12,53,0,76
328950,79,44,-8,84
329460,0,63,9,75
329970,1,54,-1,76
330480,2,45,-2,78
330990,66,7,0,78
331500,42,26,-3,81
332010,81,65,-1,82
332520,4,66,4,78
333030,5,57,4,74
333540,6,48,-6,80
334050,31,17,3,77
334560,70,30,-2,79
335070,93,43,-2,81
335580,11,32,4,77
336090,30,45,-1,78
336600,82,58,-1,79
337110,5,59,9,70
337620,30,50,-7,77
338130,82,51,-7,84
338640,3,70,1,83
339150,4,61,9,74
339660,29,52,-2,76
340170,81,53,-7,83
340680,18,72,8,75
341190,85,63,-11,86
341700,8,64,13,73
342210,75,55,-8,81
342720,100,56,5,76
343230,21,45,-3,79
343740,97,46,1,78
344250,18,35,2,76
344760,37,99,-3,79
345270,19,90,-1,80
345780,86,81,-4,84
346290,7,94,2,82
346800,27,85,11,71
347310,94,76,-20,91
347820,17,77,20,71
348330,81,68,-14,85
348840,4,69,11,74
349350,85,60,-9,83
349860,8,61,7,76
350370,72,52,-5,81
350880,97,53,5,76
351390,18,42,-2,78
351900,43,96,3,75
352410,25,87,-1,76
352920,92,78,-6,82
353430,15,79,3,79
353940,82,70,-6,85
354450,5,71,14,71
354960,86,62,-11,82
355470,9,63,9,73
355980,34,54,-7,80
356490,16,55,6,74
357000,83,46,-7,81
357510,4,47,7,74
358020,29,38,2,72
358530,11,51,-5,77
359040,78,42,-12,89
359550,101,55,13,76
360060,22,44,1,75
360570,41,6,2,73
361080,17,25,-10,83
361590,69,64,-2,85
362100,51,1,9,76
362610,27,20,-4,80
363120,66,59,-2,82
363630,48,98,0,82
364140,30,89,13,69
364650,97,80,-16,85
365160,20,81,12,73
365670,87,72,-11,84
366180,10,73,14,70
366690,77,64,-8,78
367200,0,65,1,77
367710,1,5,-4,81
368220,12,18,0,81
368730,31,57,4,77
369240,13,58,-2,79
369750,80,49,-5,84
370260,1,68,13,71
370770,82,59,-13,84
371280,29,27,5,79
371790,81,66,-4,83
372300,4,67,9,74
372810,5,58,-1,75
373320,6,49,0,75
373830,70,40,-6,81
374340,93,53,6,75
374850,14,42,0,75
375360,39,4,-2,77
375870,15,23,-7,84
376380,34,62,12,72
376890,16,63,2,70
377400,83,54,-11,81
377910,6,55,7,74
378420,31,46,-2,76
378930,13,59,-4,80
379440,80,28,2,78
379950,3,41,2,76
380460,4,3,-5,81
380970,15,42,4,77
381480,40,63,4,73
381990,22,64,2,71
382500,89,85,-16,87
383010,29,98,11,76
383520,96,17,-4,80
384030,72,27,-2,82
384540,95,40,2,80
385050,18,29,-8,88
385560,37,68,15,73
386070,19,59,-2,75
386580,86,80,-7,82
387090,9,90,1,81
387600,29,30,3,78
388110,11,69,6,72
388620,78,60,-6,78
389130,1,61,6,72
389640,82,52,-10,82
390150,19,53,3,79
390660,83,74,-6,85
391170,6,11,1,84
391680,21,50,4,80
392190,85,71,-3,83
392700,8,72,10,73
393210,33,63,0,73
393720,15,84,-6,79
394230,82,75,-3,82
394740,3,76,7,75
395250,84,67,-9,84
395760,7,68,8,76
396270,32,59,2,74
396780,14,80,3,71
397290,81,71,-7,78
397800,2,8,-3,81
398310,13,21,3,78
398820,32,60,1,77
399330,14,61,1,76
399840,78,52,-11,87
400350,101,53,12,75
400860,22,54,-5,80
401370,47,75,3,77
401880,29,66,0,77
402390,3,87,-6,83
402900,84,27,-2,85
403410,7,40,4,81
403920,32,2,10,71
404430,8,21,-10,81
404940,9,34,-2,83
405450,28,47,5,78
405960,10,60,2,76
406470,35,51,-6,82
406980,17,52,3,79
407490,42,73,1,78
408000,24,64,-1,79
408510,49,85,-3,82
409020,31,76,9,73
409530,13,67,-4,77
410040,38,58,0,77
410550,20,79,4,73
411060,87,70,-16,89
411570,10,71,10,79
412080,35,62,5,74
412590,17,53,-4,78
413100,42,74,5,73
413610,24,65,0,73
414120,49,86,-2,75
414630,31,77,-2,77
415140,13,68,2,75
415650,80,17,-5,80
416160,3,30,2,78
416670,31,43,0,78
417180,13,82,-3,81
417690,38,73,4,77
418200,20,64,-3,80
418710,84,55,-1,81
419220,7,56,9,72
419730,8,47,-6,78
420240,9,38,-6,84
420750,24,0,12,72
421260,0,19,-5,77
421770,28,32,-3,80
422280,10,71,12,68
422790,91,62,-12,80
423300,12,63,6,74
423810,76,54,-5,79
424320,101,55,1,78
424830,22,56,3,75
425340,98,91,-3,78
425850,19,10,-4,82
426360,34,49,8,74
426870,16,62,-2,76
427380,80,34,-3,79
427890,1,47,2,77
428400,29,38,-10,87
428910,81,77,7,80
429420,2,90,1,79
429930,83,30,-4,83
430440,6,43,-1,84
430950,34,34,2,82
431460,16,73,9,73
431970,17,64,0,73
432480,81,55,-10,83
432990,4,56,9,74
433500,85,47,-12,86
434010,6,48,4,82
434520,87,39,-3,85
435030,10,66,9,76
435540,91,57,-6,82
436050,14,58,7,75
436560,39,49,-3,78
437070,21,62,2,76
437580,46,53,1,75
438090,28,66,4,71
438600,2,57,-2,73
439110,83,48,-13,86
439620,4,61,9,77
440130,5,52,0,77
440640,86,43,-1,78
441150,7,70,5,73
441660,88,61,-16,89
442170,11,62,19,70
442680,36,53,-9,79
443190,18,54,1,78
443700,43,45,2,76
444210,25,56,1,75
444720,101,77,-4,79
445230,24,78,8,71
445740,91,69,-11,82
446250,14,70,11,71
446760,39,61,-7,78
447270,21,82,6,72
447780,22,22,-10,82
448290,47,61,10,72
448800,29,82,-5,77
449310,54,73,3,74
449820,36,94,5,69
450330,18,85,-8,77
450840,85,76,-7,84
451350,8,77,2,82
451860,89,68,3,79
452370,12,69,7,72
452880,37,7,-2,74
453390,62,26,-1,75
453900,85,39,-7,82
454410,8,52,7,75
454920,72,43,-11,86
455430,95,56,11,75
455940,16,57,-3,78
456450,80,48,-7,85
456960,3,75,7,78
457470,84,15,-8,86
457980,7,25,5,81
458490,8,64,6,75
459000,89,55,-9,84
459510,10,56,11,73
460020,74,47,-7,80
460530,97,48,1,79
461040,18,31,-2,81
461550,52,44,5,76
462060,34,83,-1,77
462570,16,74,-3,80
463080,80,65,-2,82
463590,3,66,5,77
464100,84,57,-10,87
464610,7,58,11,76
465120,88,49,-8,84
465630,9,76,11,73
466140,90,67,-10,83
466650,13,68,9,74
467160,38,59,-1,75
467670,20,50,-7,82
468180,84,51,-3,85
468690,7,52,6,79
469200,32,43,3,76
469710,14,56,-1,77
470220,39,47,4,73
470730,21,60,-5,78
471240,85,51,-3,81
471750,6,92,-1,82
472260,87,83,-8,90
472770,10,96,10,80
473280,91,36,-2,82
473790,14,49,7,75
474300,78,40,-3,78
474810,101,53,1,77
475320,24,42,-2,79
475830,100,55,2,77
476340,21,82,0,77
476850,85,73,-10,87
477360,8,74,10,77
477870,89,65,-4,81
478380,12,66,4,77
478890,76,57,0,77
479400,101,58,1,76
479910,22,59,2,74
480420,98,50,-5,79
480930,19,39,-1,80
481440,95,52,2,78
481950,16,79,0,78
482460,17,70,9,69
482970,81,61,-13,82
483480,4,62,5,77
483990,85,21,-3,80
484500,8,48,-3,83
485010,33,39,3,80
485520,15,78,6,74
486030,40,69,3,71
486540,22,60,-6,77
487050,47,51,4,73
487560,29,64,-7,80
488070,3,55,9,71
488580,84,46,-9,80
489090,7,73,7,73
489600,88,64,-7,80
490110,11,65,4,76
490620,36,56,4,72
491130,18,57,-4,76
491640,82,48,-6,82
492150,3,61,7,75
492660,4,52,3,72
493170,68,43,-2,74
493680,91,44,-10,84
494190,14,57,5,79
494700,78,48,-6,85
495210,101,49,6,79
495720,22,38,-5,84
496230,98,0,-2,86
496740,74,19,8,78
497250,99,32,-3,81
497760,22,59,2,79
498270,86,50,-4,83
498780,7,77,8,75
499290,88,68,-4,79
499800,11,69,1,78
500310,36,60,-3,81
500820,18,81,6,75
501330,82,72,-7,82
501840,5,73,7,75
502350,86,64,-8,83
502860,9,65,5,78
503370,73,56,-8,86
503880,74,95,-2,88
504390,56,14,5,83
504900,32,33,-2,85
505410,14,72,7,78
505920,39,63,9,69
506430,21,54,-8,77
506940,46,75,-2,79
507450,28,66,2,77
507960,2,57,1,76
508470,83,48,-8,84
508980,4,61,7,77
509490,85,52,-3,80
510000,8,79,3,77
510510,89,70,-7,84
511020,12,71,5,79
511530,37,62,5,74
512040,19,53,-2,76
512550,83,74,-7,83
513060,6,75,7,76
513570,87,66,-11,87
514080,1,78,16,71
514590,82,18,-8,79
515100,5,45,-2,81
515610,4,36,-1,82
516120,32,100,7,75
516630,14,19,-4,79
517140,53,58,5,74
517650,35,97,3,71
518160,17,88,-9,80
518670,81,7,-4,84
519180,57,26,3,81
519690,97,39,1,80
520200,20,28,2,78
520710,72,67,-5,83
521220,54,78,0,83
521730,36,99,8,75
522240,18,18,-11,86
522750,43,57,11,75
523260,5,78,-7,82
523770,86,69,-3,85
524280,9,70,8,77
524790,34,33,-8,85
525300,16,72,13,72
525810,80,63,-12,84
526320,3,64,8,76
526830,84,55,-5,81
527340,7,56,4,77
527850,88,47,-3,80
528360,11,74,2,78
528870,36,65,-2,80
529380,18,86,1,79
529890,43,77,3,76
530400,25,68,0,76
530910,50,59,1,75
531420,32,80,4,71
531930,14,71,-4,75
532440,39,62,-2,77
532950,21,83,3,74
533460,94,74,-9,83
533970,10,75,7,76
534480,35,66,0,76
534990,17,57,-3,79
535500,81,78,-6,85
536010,63,15,3,82
536520,39,25,10,72
537030,21,36,-12,84
537540,73,75,-6,90
538050,55,12,10,80
538560,80,31,3,77
539070,3,58,3,74
539580,84,49,-13,87
540090,7,76,13,74
540600,88,67,-10,84
541110,11,68,9,75
541620,36,59,-4,79
542130,18,80,4,75
542640,43,71,2,73
543150,25,62,-6,79
543660,50,83,1,78
544170,32,74,-1,79
544680,14,65,6,73
545190,39,56,1,72
545700,21,77,-1,73
546210,46,68,-2,75
546720,28,89,-3,78
547230,10,8,-5,83
547740,49,47,9,74
548250,31,89,5,69
548760,13,8,-16,85
549270,52,47,7,78
549780,34,58,5,73
550290,16,79,-5,78
550800,82,70,-2,80
551310,5,71,6,74
551820,86,62,-14,88
552330,9,63,14,74
552840,34,54,-1,75
553350,16,55,-1,76
553860,41,76,-6,82
554370,23,67,7,75
554880,96,88,-5,80
555390,78,7,-5,85
555900,54,26,3,82
556410,94,45,0,82
556920,17,34,7,75
557430,42,73,-2,77
557940,24,64,0,77
558450,0,85,-2,79
558960,81,76,-6,85
559470,63,38,-2,87
559980,1,57,6,81
560490,2,48,5,76
561000,27,10,1,75
561510,52,21,-3,78
562020,34,40,-1,79
562530,16,51,-1,80
563040,41,13,4,76
563550,48,32,-6,82
564060,30,43,-2,84
564570,12,82,6,78
565080,37,73,-2,80
565590,19,64,7,73
566100,83,33,-6,79
566610,6,22,-1,80
567120,7,35,2,78
567630,32,99,1,77
568140,14,18,-5,82
568650,53,57,4,78
569160,35,96,5,73
569670,17,15,-9,82
570180,56,54,2,80
570690,38,65,4,76
571200,20,56,-10,86
571710,45,77,6,80
572220,27,68,7,73
572730,9,89,-3,76
573240,90,80,-8,84
573750,13,17,-2,86
574260,38,56,8,78
574770,20,57,0,78
575280,45,78,5,73
575790,27,69,-5,78
576300,52,90,2,76
576810,34,81,1,75
577320,16,50,-4,79
577830,41,12,3,76
578340,23,31,-8,84
578850,75,70,7,77
579360,57,7,-4,81
579870,33,26,2,79
580380,15,37,2,77
580890,40,76,4,73
581400,22,67,-1,74
581910,47,36,-11,85
582420,29,47,8,77
582930,11,0,-3,80
583440,50,39,-4,84
583950,32,50,4,80
584460,14,89,2,78
584970,39,80,2,76
585480,21,71,1,75
585990,46,92,-8,83
586500,28,83,0,83
587010,101,2,-1,84
587520,77,21,-2,86
588030,0,48,10,76
588540,1,39,-3,79
589050,26,1,5,74
589560,51,20,-6,80
590070,76,39,-3,83
590580,101,66,7,76
591090,24,67,3,73
591600,49,88,-7,80
592110,31,79,8,72
592620,13,100,-3,75
593130,94,91,-10,85
593640,17,10,9,76
594150,56,49,-5,81
594660,38,60,8,73
595170,20,81,0,73
595680,93,72,-12,85
596190,16,73,10,75
596700,41,64,4,71
597210,23,85,-5,76
597720,96,4,-8,84
598230,72,23,3,81
598740,97,50,3,78
599250,20,39,-3,81
599760,54,1,0,81
600270,30,20,3,78
600780,55,31,1,77
601290,80,50,3,74
601800,3,51,-9,83
602310,28,42,7,76
602820,10,43,-7,83
603330,35,5,8,75
603840,11,24,-6,81
604350,12,63,3,78
604860,37,54,5,73
605370,19,55,-3,76
605880,44,76,9,67
606390,26,67,-12,79
606900,51,88,2,77
607410,33,79,-6,83
607920,15,100,1,82
608430,40,91,8,74
608940,22,82,-2,76
609450,23,73,0,76
609960,96,42,0,76
610470,19,31,-14,90
610980,53,70,15,75
611490,35,91,4,71
612000,17,62,-3,74
612510,81,53,-6,80
613020,4,54,7,73
613530,29,45,-4,77
614040,11,46,-6,83
614550,36,8,6,77
615060,61,27,-3,80
615570,86,46,-1,81
616080,9,73,6,75
616590,34,64,-5,80
617100,16,55,4,76
617610,39,24,-4,80
618120,79,35,1,79
618630,2,24,0,79
619140,3,88,-4,83
619650,4,79,-1,84
