step_time,gneJ00_offset,gneJ9_offset,queue_sum
1224,26,88,27.3
1836,26,4,24.3
2448,30,73,30.0
3060,33,84,27.3
3672,34,101,25.3
4284,35,23,20.3
4896,77,29,30.3
5508,97,37,30.3
6120,12,43,29.3
6732,12,48,34.7
7344,13,51,30.7
7956,13,54,35.3
8568,14,58,28.3
9180,14,61,34.3
9792,14,64,34.7
10404,16,71,30.3
11016,17,78,28.0
11628,18,89,28.0
12240,18,3,29.3
12852,18,32,30.3
13464,83,34,27.3
14076,10,38,25.0
14688,10,42,38.3
15300,10,45,34.7
15912,10,45,33.3
16524,12,47,30.7
17136,14,49,30.0
17748,14,49,36.7
18360,18,50,26.0
18972,23,54,27.0
19584,29,63,26.0
20196,35,79,28.0
20808,39,98,26.7
21420,43,21,23.0
22032,69,24,27.7
22644,100,24,33.0
23256,17,24,26.3
23868,91,28,32.0
24480,15,28,27.7
25092,89,30,31.7
25704,19,31,23.0
26316,94,31,36.0
26928,20,31,26.3
27540,90,31,32.3
28152,14,31,28.7
28764,87,32,28.7
29376,14,34,24.3
29988,19,37,26.7
30600,24,38,23.3
31212,28,46,22.0
31824,32,55,23.3
32436,36,70,27.7
33048,41,91,24.3
33660,44,15,22.7
34272,95,38,29.3
34884,19,43,27.0
35496,19,49,32.0
36108,19,56,35.3
36720,20,65,27.7
37332,21,73,26.7
37944,22,84,28.0
38556,26,101,27.7
39168,27,21,22.3
39780,36,26,22.0
40392,84,28,29.3
41004,3,28,30.0
41616,10,28,29.7
42228,79,30,28.7
42840,99,31,29.7
43452,6,31,29.7
44064,6,31,34.3
44676,6,31,33.0
45288,6,31,33.0
45900,6,31,34.3
46512,6,31,33.7
47124,6,33,33.7
47736,6,33,32.0
48348,10,33,32.7
48960,12,33,32.7
49572,12,33,31.7
50184,14,33,31.0
50796,20,33,27.3
51408,85,33,35.3
52020,10,33,27.7
52632,10,33,31.0
53244,10,33,35.0
53856,10,33,32.0
54468,10,33,32.7
55080,10,33,33.0
55692,10,33,32.3
56304,10,34,31.0
56916,10,37,33.0
57528,10,44,37.0
58140,10,50,32.0
58752,10,57,35.7
59364,10,66,35.3
59976,10,77,32.3
60588,10,89,36.0
61200,10,9,29.0
61812,10,41,35.7
62424,10,41,34.3
63036,10,41,31.7
63648,11,41,33.0
64260,11,41,39.3
64872,11,41,33.7
65484,11,41,33.3
66096,11,41,32.7
66708,13,43,30.3
67320,13,45,34.3
67932,13,45,37.7
68544,14,50,25.7
69156,14,53,33.3
69768,14,55,36.0
70380,14,59,32.7
70992,14,59,34.7
71604,14,59,38.0
72216,14,60,32.7
72828,14,60,36.0
73440,14,60,36.0
74052,14,61,33.3
74664,14,65,32.0
75276,14,67,32.7
75888,14,70,30.3
76500,14,80,32.7
77112,14,94,28.0
77724,14,19,30.0
78336,14,51,35.0
78948,14,64,32.3
79560,14,83,34.3
80172,14,10,31.0
80784,14,37,30.0
81396,14,55,35.7
82008,14,65,34.3
82620,15,80,31.0
83232,15,6,25.7
83844,25,19,22.0
84456,25,41,29.0
85068,25,53,30.0
85680,26,55,25.0
86292,28,59,25.3
86904,28,65,29.3
87516,31,71,29.7
88128,36,81,28.3
88740,36,93,22.7
89352,36,11,24.7
89964,43,12,27.3
90576,59,15,27.0
91188,98,15,28.7
91800,9,15,24.7
92412,14,32,26.0
93024,18,32,26.0
93636,20,33,25.3
94248,23,35,24.3
94860,29,37,20.3
95472,33,37,24.7
96084,37,37,25.3
96696,41,37,25.3
97308,46,37,25.0
97920,50,37,26.7
98532,53,37,26.3
99144,55,37,28.7
99756,59,37,30.3
100368,61,37,35.7
100980,62,37,32.7
101592,62,37,31.3
102204,62,37,31.7
102816,62,37,31.3
103428,64,37,31.0
104040,64,37,31.3
104652,64,37,29.3
105264,64,37,29.7
105876,64,37,33.7
106488,69,37,30.3
107100,74,37,30.7
107712,79,37,29.7
108324,86,40,30.0
108936,94,44,28.3
109548,0,50,29.3
110160,2,58,25.3
110772,2,68,34.3
111384,6,83,29.3
111996,6,23,30.3
112608,15,52,30.3
113220,17,69,26.0
113832,19,87,27.7
114444,21,21,23.0
115056,22,42,24.7
115668,23,75,28.3
116280,25,98,26.3
116892,27,34,21.0
117504,28,46,22.7
118116,28,79,31.7
118728,28,100,24.3
119340,28,34,21.3
119952,28,52,24.0
120564,28,78,27.0
121176,28,91,26.0
121788,28,6,27.0
122400,28,11,24.0
123012,28,14,23.0
123624,31,16,24.3
124236,35,19,23.7
124848,40,21,22.3
125460,40,23,22.3
126072,42,23,25.3
126684,42,24,24.0
127296,42,26,24.3
127908,42,32,23.7
128520,43,44,20.0
129132,45,56,24.0
129744,45,80,25.3
130356,45,7,24.0
130968,12,12,25.0
131580,12,43,35.3
132192,12,46,31.7
132804,12,56,33.0
133416,12,68,32.7
134028,12,81,33.0
134640,12,92,29.7
135252,12,17,29.7
135864,12,40,33.7
136476,19,50,28.3
137088,19,66,30.3
137700,19,91,29.7
138312,20,5,24.0
138924,22,18,23.7
139536,25,35,24.7
140148,27,51,25.8
140760,29,62,25.7
141372,29,81,30.7
141984,29,13,23.3
142596,29,19,20.3
143208,29,38,23.0
143820,29,51,25.0
144432,29,64,28.3
145044,29,90,24.7
145656,29,9,25.7
146268,30,26,21.0
146880,31,46,20.3
147492,31,50,21.3
148104,33,59,21.7
148716,34,74,29.7
149328,34,95,21.3
149940,34,6,23.7
150552,81,28,28.0
151164,20,28,24.7
151776,20,48,30.3
152388,20,56,35.3
153000,20,64,37.3
153612,20,73,32.7
154224,20,84,33.0
154836,20,93,34.3
155448,22,3,23.0
156060,23,36,20.7
156672,25,45,22.7
157284,27,50,25.0
157896,30,54,22.7
158508,30,61,25.3
159120,30,72,26.0
159732,30,95,29.7
160344,30,16,26.3
160956,30,27,21.7
161568,30,45,22.7
162180,30,46,19.0
162792,30,49,22.7
163404,30,53,22.3
164016,30,60,24.7
164628,30,72,26.3
165240,30,87,30.7
165852,30,2,28.0
166464,74,37,27.0
167076,76,37,32.3
167688,78,37,33.3
168300,84,37,32.7
168912,91,37,32.3
169524,25,37,26.0
170136,29,42,22.0
