step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
1020,13,3,10,76
1530,6,4,-4,80
2040,101,53,-5,85
2550,21,94,6,79
3060,69,43,-6,85
3570,8,84,6,79
4080,56,33,-1,80
4590,71,74,-4,84
5100,42,12,-4,88
5610,95,52,11,77
6120,15,93,-8,85
6630,63,92,11,74
7140,88,99,-5,79
7650,8,4,-2,81
8160,9,53,-5,86
8670,57,96,8,78
9180,82,1,7,71
9690,64,72,-10,81
10200,35,79,0,81
10710,60,86,7,74
11220,85,93,-11,85
11730,5,21,5,80
12240,16,22,0,80
12750,20,86,0,80
13260,68,35,-2,82
13770,90,76,4,78
14280,29,83,-5,83
14790,30,90,-2,85
15300,31,97,6,79
15810,32,25,-1,80
16320,47,32,-4,84
16830,62,73,1,83
17340,33,80,0,83
17850,58,87,4,79
18360,83,94,5,74
18870,3,101,-2,76
19380,51,30,-16,92
19890,66,37,11,81
20400,88,78,1,80
20910,8,85,3,77
21420,56,34,-6,83
21930,99,75,7,76
22440,19,14,-6,82
22950,20,78,2,80
23460,21,7,-1,81
23970,22,75,8,73
24480,23,82,-10,83
24990,24,31,-3,86
25500,28,42,0,86
26010,78,43,-2,88
26520,100,84,9,79
27030,39,91,-7,86
27540,40,98,4,82
28050,41,3,-3,85
28560,42,74,5,80
29070,67,81,-1,81
29580,38,52,-8,89
30090,88,59,4,85
30600,8,66,6,79
31110,56,8,2,77
31620,86,79,-1,78
32130,25,17,-2,80
32640,26,81,-6,86
33150,27,88,4,82
33660,28,95,4,78
34170,29,0,-3,81
34680,30,29,3,78
35190,31,69,-1,79
35700,32,76,-5,84
36210,33,83,2,82
36720,34,90,-2,84
37230,35,97,0,84
37740,36,2,2,82
38250,37,73,4,78
38760,62,80,-1,79
39270,87,10,0,79
39780,15,81,4,75
40290,63,30,-10,85
40800,93,71,5,80
41310,13,78,4,76
41820,61,27,-13,89
42330,2,34,15,74
42840,50,54,-11,85
43350,100,61,7,78
43860,20,0,1,77
44370,13,29,-3,80
44880,12,30,-7,87
45390,62,31,9,78
45900,92,72,7,71
46410,12,11,-14,85
46920,11,60,7,78
47430,75,9,7,71
47940,3,80,-7,78
48450,51,100,2,76
48960,76,5,3,73
49470,4,76,-9,82
49980,52,7,5,77
50490,82,78,1,76
51000,2,18,-6,82
51510,1,19,4,78
52020,0,20,3,75
52530,48,21,-5,80
53040,78,61,1,79
53550,17,68,1,78
54060,81,101,4,74
54570,2,31,-2,76
55080,66,51,-4,80
55590,96,92,3,77
56100,16,30,-6,83
56610,20,31,5,78
57120,70,67,2,76
57630,41,5,-8,84
58140,71,76,8,76
58650,42,16,-14,90
59160,43,56,9,81
59670,93,88,6,75
60180,32,26,-9,84
60690,82,89,12,72
61200,2,29,-5,77
61710,66,62,-3,80
62220,80,0,5,75
62730,62,71,-4,79
63240,10,78,-5,84
63750,58,9,5,79
64260,88,80,5,74
64770,8,18,-1,75
65280,7,19,0,75
65790,6,20,-10,85
66300,5,21,7,78
66810,4,22,-1,79
67320,3,23,0,79
67830,2,24,3,76
68340,1,57,-5,81
68850,57,101,7,74
69360,82,65,-9,83
69870,2,72,4,79
70380,50,14,1,78
70890,80,21,2,76
71400,0,16,-3,79
71910,28,17,-5,84
72420,53,81,10,74
72930,78,45,-8,82
73440,100,86,4,78
73950,20,92,-1,79
74460,47,41,-9,88
74970,77,47,7,81
75480,99,54,4,77
75990,19,95,-4,81
76500,67,44,-3,84
77010,97,51,4,80
77520,17,46,-3,83
78030,16,47,7,76
78540,80,80,-1,77
79050,0,8,-6,83
79560,101,9,-1,84
80070,83,80,8,76
80580,3,8,0,76
81090,84,9,-1,77
81600,12,21,-7,84
82110,11,22,1,83
82620,10,23,7,76
83130,9,24,-1,77
83640,8,25,1,76
84150,7,26,-5,81
84660,6,27,5,76
85170,5,28,-5,81
85680,4,29,5,76
86190,3,30,3,73
86700,2,63,-12,85
87210,50,96,7,78
87720,75,60,-6,84
88230,3,66,-7,91
88740,9,8,7,84
89250,8,57,0,84
89760,72,90,11,73
90270,95,18,-8,81
90780,23,13,-1,82
91290,24,77,3,79
91800,88,8,4,75
92310,16,20,-2,77
92820,15,31,-2,79
93330,79,32,0,79
93840,101,39,-1,80
94350,21,80,1,79
94860,48,11,1,78
95370,78,20,-2,80
95880,23,15,-5,85
96390,18,79,-1,86
96900,82,28,12,74
97410,10,23,-3,77
97920,9,24,-3,80
98430,8,25,0,80
98940,7,26,0,80
99450,6,27,1,79
99960,5,28,-2,81
100470,4,61,-5,86
100980,89,25,15,71
101490,9,20,-9,80
102000,8,21,1,79
102510,7,22,-5,84
103020,6,23,3,81
103530,5,24,0,81
104040,4,89,1,80
104550,52,20,-4,84
105060,82,27,11,73
105570,2,22,-8,81
106080,1,23,0,81
106590,49,100,4,77
107100,74,64,-12,89
107610,13,71,4,85
108120,77,32,6,79
108630,99,39,0,79
109140,19,80,-2,81
109650,46,11,-1,82
110160,76,20,6,76
110670,98,15,-6,82
111180,26,27,3,79
111690,30,28,-5,84
112200,80,29,6,78
112710,0,24,-2,80
113220,101,57,4,76
113730,21,98,1,75
114240,48,29,-12,87
114750,78,36,11,76
115260,100,43,-2,78
115770,20,84,-4,82
116280,47,15,-3,85
116790,77,24,9,76
117300,99,19,-1,77
117810,27,31,-8,85
118320,77,67,4,81
118830,99,73,-1,82
119340,19,79,2,80
119850,46,10,-3,83
120360,76,11,6,77
120870,4,23,-7,84
121380,3,24,3,81
121890,51,57,1,80
122400,101,100,4,76
122910,21,40,-5,81
123420,71,76,1,80
123930,42,16,-3,83
124440,43,25,2,81
124950,62,66,-2,83
125460,33,7,3,80
125970,88,89,6,74
126480,8,17,-1,75
126990,7,18,-4,79
127500,6,19,-1,80
128010,5,20,1,79
128520,4,21,-3,82
129030,3,22,4,78
129540,2,55,-1,79
130050,58,88,4,75
130560,83,29,-2,77
131070,3,32,2,75
131580,2,65,1,74
132090,50,98,-7,81
132600,75,7,9,72
133110,3,19,-13,85
133620,2,20,6,79
134130,1,21,1,78
134640,66,22,1,77
135150,91,17,1,76
135660,11,29,-2,78
136170,75,30,-4,82
136680,97,33,6,76
137190,17,74,-5,81
137700,81,5,4,77
138210,9,17,-1,78
138720,8,18,0,78
139230,7,19,-2,80
139740,6,20,-3,83
140250,5,21,7,76
140760,4,22,0,76
141270,3,23,-4,80
141780,2,24,2,78
142290,1,57,1,77
142800,57,90,-3,80
143310,82,31,4,76
143820,2,34,-4,80
144330,66,67,-1,81
144840,5,97,4,77
145350,53,28,-8,85
145860,83,35,10,75
146370,3,38,-3,78
146880,67,71,-2,80
147390,6,12,5,75
147900,71,13,0,75
148410,101,14,-5,80
148920,29,26,-5,85
149430,79,27,8,77
149940,101,68,2,75
150450,21,71,-7,82
150960,85,2,12,70
151470,67,14,-7,77
151980,97,15,-1,78
152490,25,27,-6,84
153000,75,28,2,82
153510,97,31,3,79
154020,17,34,-1,80
154530,81,35,3,77
155040,3,38,-7,84
155550,67,71,-4,88
156060,6,101,15,73
156570,54,32,-13,86
157080,84,11,15,71
157590,12,23,-5,76
158100,7,24,-6,82
158610,6,25,1,81
159120,5,26,-1,82
159630,55,27,8,74
160140,85,30,-1,75
160650,5,33,-4,79
161160,69,66,-2,81
161670,91,4,0,81
162180,73,16,9,72
162690,27,11,-12,84
163200,28,12,4,80
163710,29,13,-1,81
164220,30,77,0,81
164730,94,8,3,78
165240,76,20,-2,80
165750,30,15,-5,85
166260,55,79,14,71
166770,78,20,-4,75
167280,100,15,-4,79
167790,28,27,-3,82
168300,78,28,4,78
168810,100,31,2,76
169320,20,72,-8,84
169830,84,3,6,78
170340,66,15,0,78
170850,20,10,-1,79
171360,15,11,2,77
171870,10,12,3,74
172380,9,13,0,74
172890,8,14,2,72
173400,7,15,-12,84
173910,57,16,4,80
174420,82,11,3,77
174930,10,23,1,76
175440,9,24,0,76
175950,8,25,-4,80
176460,7,26,4,76
176970,6,27,-4,80
177480,5,28,3,77
177990,69,61,-7,84
178500,8,101,4,80
179010,56,32,-2,82
179520,86,35,7,75
180030,6,38,-10,85
180540,70,71,3,82
181050,41,9,-7,89
181560,42,10,3,86
182070,43,11,1,85
182580,73,12,9,76
183090,1,24,0,76
183600,65,25,-4,80
184110,95,28,5,75
184620,15,31,-6,81
185130,79,32,4,77
185640,101,35,3,74
