step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
1020,11,8,-7,81
1530,32,77,0,81
2040,42,66,3,78
2550,63,33,-6,84
3060,21,21,3,81
3570,42,90,-3,84
4080,52,79,3,81
4590,73,38,-3,84
5100,29,76,8,76
5610,39,65,1,75
6120,60,24,-9,84
6630,85,1,-2,86
7140,77,74,7,79
7650,35,36,1,78
8160,56,3,-1,79
8670,18,76,-8,87
9180,28,65,7,80
9690,38,54,1,79
10200,59,21,-2,81
10710,15,32,2,79
11220,16,101,-9,88
11730,26,90,2,86
12240,36,79,9,77
12750,46,38,-3,80
13260,4,5,1,79
13770,25,2,-7,86
14280,46,87,8,78
14790,51,46,-3,81
15300,9,13,3,78
15810,30,82,-4,82
16320,40,71,-3,85
16830,69,30,0,85
17340,25,7,3,82
17850,46,92,5,77
18360,75,51,0,77
18870,33,78,-1,78
19380,43,67,-1,79
19890,64,26,-6,85
20400,20,3,4,81
20910,41,28,0,81
21420,101,97,1,80
21930,59,92,9,71
22440,80,51,-2,73
22950,36,31,-9,82
23460,64,100,10,72
23970,19,59,-7,79
24480,29,8,-4,83
24990,30,93,0,83
25500,40,82,3,80
26010,50,41,0,80
26520,8,8,-5,85
27030,29,77,7,78
27540,39,66,1,77
28050,68,36,-4,81
28560,93,13,2,79
29070,49,100,1,78
29580,78,59,-2,80
30090,36,39,-6,86
30600,57,6,12,74
31110,13,79,-12,86
31620,23,68,10,76
32130,33,57,-3,79
32640,54,24,-7,86
33150,12,1,5,81
33660,33,74,11,70
34170,62,33,-14,84
34680,20,21,0,84
35190,41,90,5,79
35700,70,79,-2,81
36210,91,4,8,73
36720,83,77,0,73
37230,41,2,-10,83
37740,60,27,-8,91
38250,85,38,15,76
38760,41,22,-7,83
39270,69,91,9,74
39780,90,16,-5,79
40290,46,89,5,74
40800,75,48,0,74
41310,4,86,-6,80
41820,58,75,9,71
42330,79,64,-4,75
42840,37,44,-5,80
43350,58,11,-1,81
43860,14,36,-1,82
44370,24,7,-3,85
44880,45,92,9,76
45390,74,51,-2,78
45900,32,78,-1,79
46410,42,67,3,76
46920,63,26,-1,77
47430,19,3,-6,83
47940,40,88,3,80
48450,50,77,2,78
48960,71,36,-4,82
49470,96,74,7,75
49980,19,101,-8,83
50490,26,90,-2,85
51000,36,79,4,81
51510,65,68,1,80
52020,23,95,-6,86
52530,33,84,5,81
53040,43,73,1,80
53550,64,32,-5,85
54060,89,20,2,83
54570,45,5,6,77
55080,64,90,-3,80
55590,44,49,3,77
56100,65,16,-5,82
56610,21,27,-2,84
57120,42,96,2,82
57630,71,85,3,79
58140,92,10,-3,82
58650,84,83,0,82
59160,42,8,3,79
59670,67,93,3,76
60180,88,52,1,75
60690,11,90,-3,78
