step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
1020,50,85,4,75
1530,64,76,-2,77
2040,14,1,-2,79
2550,71,12,1,78
3060,86,22,6,72
3570,101,49,-5,77
4080,24,76,-4,81
4590,76,67,-6,87
5100,58,29,7,80
5610,83,36,4,76
6120,6,46,-10,86
6630,70,50,4,82
7140,95,61,4,78
7650,18,88,0,78
8160,34,80,-5,83
8670,37,71,-2,85
9180,40,33,10,75
9690,43,97,-4,79
10200,46,25,-2,81
10710,49,32,4,77
11220,68,43,-3,80
11730,93,46,4,76
12240,16,73,-5,81
12750,26,64,-1,82
13260,29,55,0,82
13770,63,17,9,73
14280,78,27,-1,74
14790,1,37,-10,84
15300,65,28,8,76
15810,90,35,1,75
16320,13,62,-4,79
16830,65,53,-2,81
17340,79,15,7,74
17850,94,42,3,71
18360,17,69,-12,83
18870,69,60,-1,84
19380,83,22,15,69
19890,65,49,-15,84
20400,79,60,1,83
20910,93,43,5,78
21420,16,70,1,77
21930,68,61,-3,80
22440,82,23,4,76
22950,97,50,-4,80
23460,20,77,0,80
23970,72,16,2,78
24480,87,26,2,76
24990,69,53,-1,77
25500,94,80,1,76
26010,76,5,0,76
26520,58,32,-3,79
27030,83,39,2,77
27540,6,66,0,77
28050,51,16,-1,78
28560,52,23,0,78
29070,71,30,4,74
29580,96,40,-7,81
30090,19,67,2,79
30600,22,58,-8,87
31110,25,20,12,75
31620,59,89,-3,78
32130,73,14,6,72
32640,88,24,-2,74
33150,70,51,-14,88
33660,84,34,10,78
34170,7,61,-3,81
34680,52,52,-6,87
35190,66,14,13,74
35700,81,24,-3,77
36210,96,51,0,77
36720,19,78,-5,82
37230,21,69,2,80
37740,24,60,-4,84
38250,27,22,4,80
38760,46,91,3,77
39270,47,82,-1,78
39780,61,73,2,76
40290,75,100,1,75
40800,57,25,-4,79
41310,82,14,2,77
41820,97,41,1,76
42330,20,68,-1,77
42840,21,59,-6,83
43350,24,21,7,76
43860,38,32,-12,88
44370,52,96,12,76
44880,53,87,-2,78
45390,67,78,0,78
45900,49,3,1,77
46410,50,33,-8,85
46920,69,44,8,77
47430,94,71,0,77
47940,17,98,-6,83
48450,33,40,0,83
48960,47,2,8,75
49470,48,32,-3,78
49980,67,43,-4,82
50490,92,26,6,76
51000,74,53,-5,81
51510,99,36,2,79
52020,22,63,3,76
52530,25,54,-4,80
53040,28,16,-1,81
53550,31,27,2,79
54060,45,91,3,76
54570,46,10,-8,84
55080,47,60,5,79
55590,61,50,-3,82
56100,75,12,11,71
56610,90,22,2,69
57120,72,49,-12,81
57630,97,32,8,73
58140,79,59,-7,80
58650,2,42,2,78
59160,66,33,0,78
59670,91,40,4,74
60180,14,67,-9,83
60690,24,58,5,78
61200,25,20,-6,84
61710,50,31,8,76
62220,64,42,-7,83
62730,89,53,9,74
63240,12,80,-10,84
63750,57,30,4,80
64260,82,37,4,76
64770,5,47,-3,79
65280,69,38,-7,86
65790,94,49,5,81
66300,17,79,-2,83
66810,28,29,2,81
67320,42,93,2,79
67830,43,55,-2,81
68340,57,17,-1,82
68850,72,24,1,81
69360,97,34,0,81
69870,20,61,0,81
70380,23,23,1,80
70890,37,34,-4,84
71400,51,98,3,81
71910,54,17,1,80
72420,79,24,0,80
72930,2,51,-2,82
73440,66,42,2,80
73950,91,25,1,79
74460,4,52,-5,84
74970,68,43,4,80
75480,93,26,1,79
75990,69,53,-4,83
76500,94,36,3,80
77010,17,63,0,80
77520,19,25,-2,82
78030,71,94,0,82
78540,53,19,7,75
79050,78,26,3,72
79560,1,36,-9,81
80070,65,27,7,74
80580,90,37,-3,77
81090,13,64,2,75
81600,24,14,-8,83
82110,27,32,4,79
82620,41,101,4,75
83130,42,20,-7,82
83640,45,27,-2,84
84150,48,38,8,76
84660,51,0,0,76
85170,54,30,-8,84
85680,79,41,5,79
86190,2,30,6,73
86700,66,21,-6,79
87210,91,31,7,72
87720,14,58,-9,81
88230,13,20,-1,82
88740,65,89,1,81
89250,79,14,7,74
89760,55,24,-5,79
90270,80,31,3,76
90780,3,41,-6,82
91290,67,32,0,82
91800,92,39,4,78
92310,15,66,-2,80
92820,22,28,-2,82
93330,64,97,8,74
93840,69,22,-8,82
94350,94,32,8,74
94860,17,59,-3,77
95370,20,50,-4,81
95880,67,12,11,70
96390,82,22,-7,77
96900,89,49,-2,79
97410,12,38,1,78
97920,19,29,-3,81
98430,71,98,5,76
98940,85,23,3,73
99450,92,50,2,71
99960,15,77,-10,81
100470,26,27,4,77
100980,68,96,0,77
101490,73,21,6,71
102000,80,31,-1,72
102510,3,41,-10,82
103020,67,32,5,77
103530,92,21,0,77
104040,68,48,-6,83
104550,93,31,10,73
105060,16,58,-10,83
105570,19,49,-1,84
106080,22,11,3,81
106590,25,29,3,78
107100,67,98,0,78
107610,72,23,4,74
108120,97,33,-3,77
108630,20,60,-7,84
109140,23,82,0,84
109650,26,71,4,80
110160,29,62,-3,83
110670,32,24,10,73
111180,35,88,-4,77
111690,38,7,-5,82
112200,39,57,-2,84
112710,53,19,6,78
113220,78,26,8,70
113730,1,36,-8,78
114240,65,27,1,77
114750,90,37,-1,78
115260,13,64,-5,83
115770,24,55,0,83
116280,27,17,0,83
116790,30,28,5,78
117300,33,97,-7,85
117810,36,48,3,82
118320,50,10,-3,85
118830,51,95,12,73
119340,56,58,-13,86
119850,59,20,6,80
120360,84,27,6,74
120870,7,54,-3,77
121380,52,45,-1,78
121890,55,7,3,75
122400,56,17,-3,78
122910,81,24,6,72
123420,88,38,-3,75
123930,11,65,-3,78
124440,22,56,-4,82
124950,25,18,3,79
125460,28,7,-2,81
125970,31,18,-3,84
126480,34,36,2,82
126990,37,100,-6,88
127500,40,51,3,85
128010,54,13,10,75
128520,69,23,-5,80
129030,94,33,6,74
129540,17,60,-4,78
130050,96,51,3,75
130560,19,78,-7,82
131070,30,69,-4,86
131580,33,31,5,81
132090,36,95,4,77
132600,39,14,-6,83
133110,42,21,-1,84
133620,45,28,2,82
134130,48,39,5,77
134640,51,1,-4,81
135150,52,31,1,80
135660,71,38,1,79
136170,96,27,5,74
136680,1,54,-3,77
137190,46,4,0,77
137700,47,54,-2,79
138210,61,16,-2,81
138720,76,26,12,69
139230,101,36,-9,78
139740,24,63,-2,80
140250,67,25,2,78
140760,92,35,3,75
141270,15,62,-5,80
141780,22,53,0,80
142290,25,15,-1,81
142800,28,33,-2,83
143310,31,97,-2,85
143820,34,25,6,79
144330,37,36,-6,85
144840,40,100,5,80
145350,43,19,-3,83
145860,46,26,6,77
146370,49,33,-4,81
146880,52,44,-1,82
147390,55,6,5,77
147900,56,16,-2,79
148410,63,26,0,79
148920,88,31,4,75
149430,11,44,-7,82
149940,75,35,4,78
150450,100,24,-4,82
150960,76,51,-1,83
151470,101,34,4,79
151980,24,61,0,79
152490,27,52,-5,84
153000,30,14,4,80
153510,33,32,1,79
154020,36,96,3,76
154530,39,15,-13,89
155040,42,22,3,86
155550,45,11,6,80
156060,99,18,0,80
156570,12,45,3,77
157080,76,36,1,76
157590,101,25,-8,84
158100,77,52,0,84
158610,0,35,5,79
159120,64,26,-4,83
159630,89,33,13,70
160140,12,60,-11,81
160650,11,51,6,75
161160,10,42,-6,81
161670,74,33,4,77
162180,99,43,1,76
162690,22,70,-8,84
163200,25,61,4,80
163710,28,23,-4,84
164220,31,30,1,83
164730,34,99,-2,85
165240,37,18,5,80
165750,40,25,-3,83
166260,43,14,1,82
166770,46,21,-5,87
167280,49,28,-1,88
167790,52,35,10,78
168300,71,46,-4,82
168810,96,29,4,78
169320,78,56,-3,81
