step_time,gneJ00_offset,gneJ9_offset,reward,queue_sum
1020,95,89,119,81
1530,85,76,-8,89
2040,45,20,6,83
2550,85,58,0,83
3060,99,21,4,79
3570,80,43,1,78
4080,9,95,-3,81
4590,2,95,-6,87
5100,58,3,8,79
5610,36,3,-2,81
6120,94,7,-3,84
6630,96,91,1,83
7140,29,1,2,81
7650,16,12,-1,82
8160,46,56,6,76
8670,6,89,-9,85
9180,22,83,5,80
9690,93,12,-4,84
10200,68,1,-2,86
10710,91,95,3,83
11220,41,19,0,83
11730,16,66,11,72
12240,57,41,-12,84
12750,11,84,6,78
13260,51,78,0,78
13770,74,15,3,75
14280,25,53,5,70
14790,43,50,-4,74
15300,43,25,-7,81
15810,0,62,1,80
16320,74,30,0,80
16830,2,64,8,72
17340,1,17,-16,88
17850,29,18,7,81
18360,5,6,0,81
18870,75,30,7,74
19380,15,79,5,69
19890,69,31,-9,78
20400,97,14,-6,84
20910,38,58,7,77
21420,8,8,-2,79
21930,6,10,-3,82
22440,0,47,5,77
22950,30,70,-6,83
23460,56,4,-1,84
23970,5,2,5,79
24480,59,12,-1,80
24990,77,62,-1,81
25500,52,5,4,77
26010,8,101,-7,84
26520,74,36,0,84
27030,35,86,-1,85
27540,55,69,5,80
28050,48,21,-3,83
28560,40,96,6,77
29070,19,53,-1,78
29580,23,63,5,73
30090,87,84,-11,84
30600,18,83,3,81
31110,1,57,3,78
31620,15,100,-1,79
32130,19,38,3,76
32640,76,21,-6,82
33150,17,66,7,75
33660,94,90,-8,83
34170,93,19,4,79
34680,8,92,4,75
35190,36,18,-11,86
35700,56,62,6,80
36210,7,47,1,79
36720,28,55,-3,82
37230,16,27,5,77
37740,26,87,-3,80
38250,6,96,-8,88
38760,41,51,9,79
39270,45,65,3,76
39780,37,87,-3,79
40290,65,16,-2,81
40800,37,55,-5,86
41310,70,100,-1,87
41820,37,68,1,86
42330,36,9,8,78
42840,79,83,-6,84
43350,41,64,10,74
43860,87,32,-5,79
44370,18,40,3,76
44880,52,99,-12,88
45390,80,51,8,80
45900,18,74,6,74
46410,50,25,-8,82
46920,77,3,4,78
47430,26,53,2,76
47940,43,51,-1,77
48450,14,43,2,75
48960,61,11,-9,84
49470,8,9,3,81
49980,66,64,-4,85
50490,75,57,0,85
51000,60,12,2,83
51510,18,14,-5,88
52020,46,96,2,86
52530,46,13,6,80
53040,17,2,2,78
53550,98,100,-10,88
54060,45,96,10,78
54570,89,49,3,75
55080,2,98,-6,81
55590,25,72,2,79
56100,42,29,0,79
56610,32,44,0,79
57120,51,77,-6,85
57630,34,11,1,84
58140,5,31,15,69
58650,57,2,-15,84
59160,85,101,-2,86
59670,58,64,4,82
60180,45,76,2,80
60690,4,10,0,80
61200,72,100,-4,84
61710,60,47,1,83
62220,20,85,3,80
62730,79,11,0,80
63240,75,61,-12,92
63750,76,78,12,80
64260,93,78,-7,87
64770,45,16,4,83
65280,79,19,2,81
65790,79,52,-7,88
66300,11,95,9,79
66810,1,54,6,73
67320,81,22,-7,80
67830,46,66,2,78
68340,62,26,-8,86
68850,86,70,0,86
69360,73,6,2,84
69870,13,30,5,79
70380,66,71,-1,80
70890,95,7,-4,84
71400,5,46,9,75
71910,19,17,-8,83
72420,79,47,8,75
72930,20,92,1,74
73440,79,96,-5,79
73950,46,100,-2,81
74460,54,55,2,79
74970,64,69,-2,81
75480,41,86,1,80
75990,27,38,-5,85
76500,72,74,6,79
77010,69,6,-6,85
77520,26,70,11,74
78030,30,17,-5,79
78540,2,78,-3,82
79050,4,56,6,76
79560,5,74,2,74
80070,56,14,-6,80
80580,99,76,0,80
81090,4,24,4,76
81600,69,70,-8,84
82110,32,63,3,81
82620,97,47,7,74
83130,54,100,-9,83
83640,92,62,8,75
84150,11,71,3,72
84660,70,34,-5,77
85170,66,2,-9,86
85680,59,80,5,81
86190,17,1,1,80
86700,27,0,1,79
87210,65,7,4,75
87720,67,0,-12,87
88230,12,40,7,80
88740,31,27,6,74
89250,72,41,-5,79
89760,52,27,-6,85
90270,5,51,14,71
90780,12,96,-5,76
91290,86,43,2,74
91800,48,97,-9,83
92310,45,55,5,78
92820,98,101,-10,88
93330,24,29,13,75
93840,93,38,1,74
94350,33,48,-10,84
94860,10,89,7,77
95370,36,57,-6,83
95880,70,25,6,77
96390,35,65,-3,80
96900,76,84,-2,82
97410,98,97,2,80
97920,8,5,0,80
98430,24,101,1,79
98940,44,20,-2,81
99450,16,58,4,77
99960,30,35,7,70
100470,74,98,-12,82
100980,101,76,9,73
101490,50,49,-6,79
102000,60,66,-4,83
102510,86,50,6,77
103020,51,5,-3,80
103530,0,46,8,72
104040,17,42,-7,79
104550,38,30,4,75
105060,3,84,-7,82
105570,93,48,10,72
106080,8,41,-3,75
106590,12,74,-3,78
107100,79,51,0,78
107610,0,43,5,73
108120,29,36,0,73
108630,79,100,-7,80
109140,8,4,-8,88
109650,3,43,11,77
110160,29,91,-3,80
110670,58,50,-5,85
111180,23,90,3,82
111690,34,50,4,78
112200,7,25,1,77
112710,41,95,-2,79
113220,92,67,-1,80
113730,97,50,5,75
114240,29,15,-5,80
114750,92,13,-1,81
115260,22,60,4,77
115770,70,85,-9,86
116280,5,80,1,85
116790,54,69,7,78
117300,95,75,-2,80
117810,98,15,3,77
118320,5,91,0,77
118830,61,83,-4,81
119340,96,89,-2,83
119850,54,28,2,81
120360,60,58,-1,82
120870,55,59,1,81
121380,69,37,2,79
121890,38,10,-10,89
122400,50,74,5,84
122910,0,21,4,80
123420,98,43,-1,81
123930,79,0,-4,85
124440,24,70,8,77
124950,86,44,3,74
125460,48,70,2,72
125970,33,57,-5,77
126480,26,92,1,76
126990,25,36,3,73
127500,41,8,-12,85
128010,97,84,5,80
128520,49,47,1,79
129030,13,76,4,75
129540,5,80,-1,76
130050,83,6,-3,79
130560,46,30,-1,80
131070,97,56,6,74
131580,45,11,-6,80
132090,39,81,-1,81
132600,6,94,-2,83
133110,0,81,8,75
133620,38,27,-7,82
134130,28,79,6,76
134640,15,77,2,74
135150,17,89,0,74
135660,70,17,-5,79
136170,50,75,-1,80
136680,37,33,0,80
137190,80,68,2,78
137700,5,51,3,75
138210,99,13,-6,81
138720,47,38,4,77
139230,76,29,-1,78
139740,4,77,1,77
140250,25,59,-2,79
140760,90,97,-1,80
141270,15,97,-1,81
141780,41,98,5,76
142290,26,17,-1,77
142800,24,33,2,75
143310,39,45,-8,83
143820,75,47,1,82
144330,59,71,-5,87
144840,101,53,15,72
145350,2,92,-15,87
145860,41,17,13,74
146370,96,10,-13,87
146880,78,25,11,76
147390,52,27,-7,83
147900,80,66,4,79
148410,11,9,-2,81
148920,58,64,1,80
149430,91,33,5,75
149940,7,69,-6,81
150450,41,50,-3,84
150960,28,78,4,80
151470,14,31,6,74
151980,8,19,-2,76
152490,48,81,-1,77
153000,2,25,-1,78
153510,39,98,-3,81
